"Species","Ind","Site","Area","Diam","source","Sex_sys"
"Ambrosia artemisiifolia","2","FBF",232.178,17.193551437022,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",246.497,17.7158044711095,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",249.572,17.8259625170324,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",219.396,16.7135772100624,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",287.531,19.1336311121869,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",215.072,16.5480565434519,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",235.733,17.3246811687562,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",232.274,17.197105628966,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",204.116,16.1210596088831,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",227.084,17.0038915774196,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",236.887,17.3670347507477,"CS2021","monoecious"
"Ambrosia artemisiifolia","2","FBF",233.331,17.2361903044902,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",276.576,18.7655935244445,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",241.595,17.5387658576734,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",290.414,19.2293158782292,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",239.866,17.4758941584528,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",238.905,17.4408512818312,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",279.074,18.8501472860936,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",224.49,16.9064941782025,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",266.581,18.4233946675157,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",283.687,19.005302068825,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",246.881,17.7295981918306,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",273.02,18.6445665142313,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",254.953,18.0171096918697,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",248.515,17.7881737528016,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",241.98,17.5527349730751,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",290.126,19.2197787748932,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",271.579,18.5952983928635,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",290.895,19.2452336272059,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",285.033,19.0503356178965,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",291.856,19.2769966687818,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",269.657,18.5293808831987,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",272.251,18.6182904503527,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",258.317,18.1355843434214,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",263.41,18.3134930714675,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",240.634,17.5038488512613,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",237.367,17.3846211064593,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",248.419,17.7847376832936,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",211.708,16.4181301473947,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",252.839,17.9422577523369,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",242.749,17.5806036939838,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",250.341,17.8534047416325,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",285.994,19.0824230735247,"CS2021","monoecious"
"Ambrosia artemisiifolia","3","FBF",267.735,18.463228036009,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",215.648,16.5702010049078,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",247.554,17.7537472736707,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",247.842,17.7640714715476,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",249.572,17.8259625170324,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",214.687,16.5332385859685,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",215.264,16.5554413217489,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",289.165,19.1879210169665,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",209.69,16.3396940037296,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",202.194,16.0449804147023,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",218.82,16.6916229641982,"CS2021","monoecious"
"Ambrosia artemisiifolia","4","FBF",234.868,17.2928663151271,"CS2021","monoecious"
