"Species","source","Sex_sys","mean_diam","sd_diam","cv_diam","min_diam","max_diam","mean_polanth","sd_polanth","cv_polanth","min_polanth","max_polanth","n","anth_msd","diam_msd"
"Rumex acetosella","JF2004","dioecious",19.9736035735869,0.596001551325457,0.029839460322203,19.3029215537525,21.4885898893992,2070.4557582629,564.292364487216,0.272544999928254,1034.28571428571,3241.66666666667,21,"2070 ± 564","20 ± 0.6"
"Thalictrum dioicum","JF2004","dioecious",16.6019573677948,0.610952334308747,0.0368000182613345,15.8840308370202,17.7117553519226,3319.98633688883,1294.51431920653,0.389915556224734,1107.76,5450.19230769231,23,"3320 ± 1295","16.6 ± 0.6"
"Agropyron trachycaulum","JF2001","hermaphroditic",37.7086935078766,1.55908064280214,0.0413453900882692,34.9131636118213,39.2296066925005,5395.1,926.79062653444,0.171783771669559,3249.33333333333,6493.33333333333,10,"5395 ± 927","37.7 ± 1.6"
"Avenula hookeri","JF2001","hermaphroditic",28.1054152312706,1.59880020342449,0.0568858417592647,25.8832591917139,29.7313785900931,1719.13333333333,1077.66284152327,0.626864025394541,770.666666666667,3490.66666666667,5,"1719 ± 1078","28.1 ± 1.6"
"Bromus inermis","JF2001","hermaphroditic",33.4659663826577,2.57040921113475,0.0768066632752835,30.0981448284332,40.4078564906534,5658.74444444444,2451.71092919456,0.433260585146509,939.666666666667,11633.3333333333,30,"5659 ± 2452","33.5 ± 2.6"
"Chenopodium album","JF2004","hermaphroditic",24.2025093206772,0.559095513605582,0.0231007250610961,23.2693969423081,25.448252172029,525.458333333333,137.41728091443,0.261518891598312,273.25,824,22,"525 ± 137","24.2 ± 0.6"
"Elymus innovatus","JF2001","hermaphroditic",35.1598323188556,1.65997769484234,0.0472123325216236,31.9040675514011,38.178572166038,7573.31862745098,2433.70761351763,0.321352861702686,3737.33333333333,14904,34,"7573 ± 2434","35.2 ± 1.7"
"Elymus repens","JF2001","hermaphroditic",37.1057021898074,1.57123972241874,0.0423449666679624,33.8407184294713,39.1888505230289,4995.24621212121,1848.36315075313,0.370024433684166,1480.66666666667,8908.5,33,"4995 ± 1848","37.1 ± 1.6"
"Festuca campestris","JF2001","hermaphroditic",28.9006524346769,1.56389548735725,0.0541128090755761,23.9199407800568,32.5769103238821,6518.13888888889,1947.11708863192,0.298722859672576,1083.66666666667,10864.5,60,"6518 ± 1947","28.9 ± 1.6"
"Festuca pratensis","JF2001","hermaphroditic",29.6210051282794,1.12572117146924,0.0380041516685233,27.8227566788708,31.108108650614,2472.90476190476,931.440667314733,0.376658527923772,1094.66666666667,4481.33333333333,14,"2473 ± 931","29.6 ± 1.1"
"Festuca rubra","JF2001","hermaphroditic",29.0521741838681,1.19966877074822,0.0412935969320454,26.6336613719558,30.5085735811718,3037.35677083333,2564.50722014431,0.844322025245889,648.666666666667,7499.66666666667,8,"3037 ± 2565","29.1 ± 1.2"
"Hierochloe odorata","JF2001","hermaphroditic",22.6018226671111,1.89634073507318,0.0839021154622466,18.0828384308346,25.5815023382205,1713.43599436917,783.868537305237,0.457483407539733,50.8467213955875,3631,50,"1713 ± 784","22.6 ± 1.9"
"Koeleria cristata","JF2001","hermaphroditic",22.0214210147968,1.15806354634843,0.052588048045142,20.6987639165738,24.481244785584,2374.24333333333,1044.90892909028,0.440101869265132,866,4818.33333333333,25,"2374 ± 1045","22 ± 1.2"
"Phalaris arundinacea","JF2001","hermaphroditic",32.0857086798322,0.512262422011586,0.015965438916223,31.0757348206858,32.5265246867369,1496.34523809524,492.660991802594,0.329242864053033,532.333333333333,2106,7,"1496 ± 493","32.1 ± 0.5"
"Phleum pratense","JF2001","hermaphroditic",29.8694504488468,1.77726630159427,0.0595011382830072,26.8233199397184,33.4591847968229,1696.50763888889,595.323694673139,0.350911296257434,265.333333333333,2653.66666666667,30,"1697 ± 595","29.9 ± 1.8"
"Plantago lanceolata","JF2004","hermaphroditic",21.2440630678731,1.18901440786927,0.0559692561667919,18.5882128667403,23.1564683292835,2748.65625,768.3086124605,0.27952153437175,1009.25,4742.75,24,"2749 ± 768","21.2 ± 1.2"
"Poa juncifolia","JF2001","hermaphroditic",21.6914475116556,1.00510669730861,0.04633654332052,20.017060764787,22.994807375003,2425.80555555555,1036.9051302188,0.427447751467175,1319.66666666667,4194.5,6,"2426 ± 1037","21.7 ± 1"
"Schizachne purpurascens","JF2004","hermaphroditic",29.3041862744217,0.509840945754118,0.0173982290782506,28.6059271990781,30.252609192272,287.152777777778,99.4422185998852,0.346304219549781,149.666666666667,430,12,"287 ± 99","29.3 ± 0.5"
"Stipa columbiana","JF2001","hermaphroditic",28.5365486737835,1.33241196727977,0.0466914195725379,26.5174384721355,30.0889761752398,673.048148148147,386.86886694374,0.574801175827,144.37037037037,1336.33333333333,10,"673 ± 387","28.5 ± 1.3"
"Amaranthus retroflexus","CS2021","monoecious",24.7228110318763,1.67012457444693,0.0675539918293902,21.9172343621785,28.1492792290705,2648.33333333333,618.430510483026,0.233516869911778,1466.66666666667,3733.33333333333,16,"2648 ± 618","24.7 ± 1.7"
"Ambrosia artemisiifolia","JF2004","monoecious",17.9277166565585,0.422885331626004,0.0235883542632464,17.4410948763155,19.0321055497794,765.926881047848,387.527585832549,0.505958983059037,227.619047619048,1532.35714285714,21,"766 ± 388","17.9 ± 0.4"
"Carex communis","JF2004","monoecious",24.3979736456991,2.02619953509697,0.0830478614544349,18.5509508967124,26.1074629710491,606.87184595913,100.171230169254,0.1650615872795,384.75,776.142857142857,18,"607 ± 100","24.4 ± 2"
