"Species","Date","Site","Plant","Flower","Flw_pollen","Stigmas_per_flw","Flower_height","Infl_max","Infl_min","D1","D2","D3","D4","D5","Stigma_length","source"
"Ambrosia artemisiifolia","2021-09-20","LP","3","A",5,2,71,NA,NA,117,95,75,177,205,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","3","B",136,2,78,NA,NA,117,95,75,177,205,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","3","C",17,2,57,NA,NA,117,95,75,177,205,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","4","A",11,2,66,NA,NA,215,165,200,240,210,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","4","B",16,2,71,NA,NA,215,165,200,240,210,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","4","C",3,2,80,NA,NA,215,165,200,240,210,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","5","A",17,2,82,NA,NA,43,70,39,58,73,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","5","C",18,2,79,NA,NA,43,70,39,58,73,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","6","A",24,2,89,NA,NA,37,36,62,95,78,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","6","B",14,2,77,NA,NA,37,36,62,95,78,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","6","C",18,2,85,NA,NA,37,36,62,95,78,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","7","A",7,2,63,NA,NA,69,80,42,97,99,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","7","B",11,2,71,NA,NA,69,80,42,97,99,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","7","C",16,2,66,NA,NA,69,80,42,97,99,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","8","A",7,2,74,NA,NA,19,17,21,15,29,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","8","B",50,2,62,NA,NA,19,17,21,15,29,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","8","C",5,2,43,NA,NA,19,17,21,15,29,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","9","A",48,2,55,NA,NA,64,95,58,112,140,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","9","B",104,2,59,NA,NA,64,95,58,112,140,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","9","C",23,2,51,NA,NA,64,95,58,112,140,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","10","A",33,2,41,NA,NA,52,83,84,107,120,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","10","B",6,2,41,NA,NA,52,83,84,107,120,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","10","C",7,2,34,NA,NA,52,83,84,107,120,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","11","A",3,2,56,NA,NA,34,39,37,53,56,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","11","B",15,2,69,NA,NA,34,39,37,53,56,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","11","C",2,2,63,NA,NA,34,39,37,53,56,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","12","A",11,2,49,NA,NA,18,23,31,20,36,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","12","B",151,2,46,NA,NA,18,23,31,20,36,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","12","C",6,2,52,NA,NA,18,23,31,20,36,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","13","A",12,2,84,NA,NA,77,77,87,119,122,NA,"CS2021"
"Ambrosia artemisiifolia","2021-09-20","LP","13","B",0,2,69,NA,NA,77,77,87,119,122,NA,"CS2021"
