"Species","Date","Site","Plant","Flower","Flw_pollen","Stigmas_per_flw","Flower_height","Infl_max","Infl_min","D1","D2","D3","D4","D5","Stigma_length","source"
"Rumex acetosella","2021-06-09","KMW","F2","1",0,3,23.5,NA,NA,27,21,26,34,38,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F2","1",1,3,23.5,NA,NA,27,21,26,34,38,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F2","2",6,3,23.5,NA,NA,27,21,26,34,38,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F2","2",1,3,23.5,NA,NA,27,21,26,34,38,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F2","2",2,3,23.5,NA,NA,27,21,26,34,38,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F3","1",0,3,25,NA,NA,28,51,28,27,37,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F3","1",0,3,25,NA,NA,28,51,28,27,37,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F3","1",0,3,25,NA,NA,28,51,28,27,37,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F3","2",0,3,25,NA,NA,28,51,28,27,37,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F3","2",0,3,25,NA,NA,28,51,28,27,37,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F3","2",0,3,25,NA,NA,28,51,28,27,37,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F4","1",0,3,24.7,NA,NA,53,62,64,87,86,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F4","1",0,3,24.7,NA,NA,53,62,64,87,86,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F4","1",2,3,24.7,NA,NA,53,62,64,87,86,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F4","2",0,3,24.7,NA,NA,53,62,64,87,86,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F4","2",0,3,24.7,NA,NA,53,62,64,87,86,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F4","2",1,3,24.7,NA,NA,53,62,64,87,86,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F5","1",1,3,35,NA,NA,33,35,39,22,15,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F5","1",0,3,35,NA,NA,33,35,39,22,15,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F5","1",1,3,35,NA,NA,33,35,39,22,15,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F5","2",0,3,35,NA,NA,33,35,39,22,15,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F5","2",0,3,35,NA,NA,33,35,39,22,15,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F5","2",0,3,35,NA,NA,33,35,39,22,15,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F6","1",1,3,21.3,NA,NA,44,56,60,65,62,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F6","1",2,3,21.3,NA,NA,44,56,60,65,62,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F6","1",1,3,21.3,NA,NA,44,56,60,65,62,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F6","2",5,3,21.3,NA,NA,44,56,60,65,62,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F6","2",0,3,21.3,NA,NA,44,56,60,65,62,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F6","2",0,3,21.3,NA,NA,44,56,60,65,62,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F7","1",0,3,15.5,NA,NA,30,52,51,48,63,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F7","1",0,3,15.5,NA,NA,30,52,51,48,63,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F7","1",0,3,15.5,NA,NA,30,52,51,48,63,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F7","2",1,3,15.5,NA,NA,30,52,51,48,63,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F7","2",0,3,15.5,NA,NA,30,52,51,48,63,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F7","2",0,3,15.5,NA,NA,30,52,51,48,63,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F8","1",0,3,22,NA,NA,231,230,237,236,245,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F8","1",1,3,22,NA,NA,231,230,237,236,245,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F8","1",0,3,22,NA,NA,231,230,237,236,245,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F8","2",2,3,22,NA,NA,231,230,237,236,245,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F8","2",2,3,22,NA,NA,231,230,237,236,245,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F8","2",0,3,22,NA,NA,231,230,237,236,245,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F9","1",0,3,28.5,NA,NA,165,187,174,153,178,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F9","1",2,3,28.5,NA,NA,165,187,174,153,178,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F9","1",4,3,28.5,NA,NA,165,187,174,153,178,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F9","2",0,3,28.5,NA,NA,165,187,174,153,178,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F9","2",0,3,28.5,NA,NA,165,187,174,153,178,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F9","2",1,3,28.5,NA,NA,165,187,174,153,178,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F10","1",0,3,23.5,NA,NA,21,24,28,49,50,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F10","1",0,3,23.5,NA,NA,21,24,28,49,50,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F10","1",0,3,23.5,NA,NA,21,24,28,49,50,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F10","2",4,3,23.5,NA,NA,21,24,28,49,50,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F10","2",1,3,23.5,NA,NA,21,24,28,49,50,NA,"CS2021"
"Rumex acetosella","2021-06-09","KMW","F10","2",1,3,23.5,NA,NA,21,24,28,49,50,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F11","1",3,3,20.6,NA,NA,141,142,144,144,145,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F11","1",4,3,20.6,NA,NA,141,142,144,144,145,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F11","1",1,3,20.6,NA,NA,141,142,144,144,145,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F11","2",3,3,20.6,NA,NA,141,142,144,144,145,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F11","2",1,3,20.6,NA,NA,141,142,144,144,145,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F11","2",3,3,20.6,NA,NA,141,142,144,144,145,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F19","1",1,3,21.6,NA,NA,23,49,63,97,100,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F19","1",0,3,21.6,NA,NA,23,49,63,97,100,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F19","1",0,3,21.6,NA,NA,23,49,63,97,100,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F19","2",0,3,21.6,NA,NA,23,49,63,97,100,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F19","2",0,3,21.6,NA,NA,23,49,63,97,100,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F19","2",0,3,21.6,NA,NA,23,49,63,97,100,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F21","1",0,3,23.2,NA,NA,8,56,59,60,63,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F21","1",0,3,23.2,NA,NA,8,56,59,60,63,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F21","1",1,3,23.2,NA,NA,8,56,59,60,63,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F21","2",0,3,23.2,NA,NA,8,56,59,60,63,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F21","2",1,3,23.2,NA,NA,8,56,59,60,63,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F21","2",0,3,23.2,NA,NA,8,56,59,60,63,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F22","1",0,3,14.8,NA,NA,38,32,42,45,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F22","1",0,3,14.8,NA,NA,38,32,42,45,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F22","1",1,3,14.8,NA,NA,38,32,42,45,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F22","2",0,3,14.8,NA,NA,38,32,42,45,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F22","2",0,3,14.8,NA,NA,38,32,42,45,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F22","2",0,3,14.8,NA,NA,38,32,42,45,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F23","1",0,3,18.9,NA,NA,46,42,43,172,179,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F23","1",3,3,18.9,NA,NA,46,42,43,172,179,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F23","1",0,3,18.9,NA,NA,46,42,43,172,179,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F23","2",2,3,18.9,NA,NA,46,42,43,172,179,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F23","2",2,3,18.9,NA,NA,46,42,43,172,179,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F23","2",1,3,18.9,NA,NA,46,42,43,172,179,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F25","1",1,3,29,NA,NA,52,56,61,75,80,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F25","1",1,3,29,NA,NA,52,56,61,75,80,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F25","1",0,3,29,NA,NA,52,56,61,75,80,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F25","2",2,3,29,NA,NA,52,56,61,75,80,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F25","2",6,3,29,NA,NA,52,56,61,75,80,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F25","2",0,3,29,NA,NA,52,56,61,75,80,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F12","1",0,3,21.5,NA,NA,131,132,132,133,133,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F12","1",1,3,21.5,NA,NA,131,132,132,133,133,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F12","1",NA,3,21.5,NA,NA,131,132,132,133,133,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F12","2",0,3,21.5,NA,NA,131,132,132,133,133,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F12","2",3,3,21.5,NA,NA,131,132,132,133,133,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F12","2",2,3,21.5,NA,NA,131,132,132,133,133,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F13","1",0,3,17.3,NA,NA,45,64,30,29,35,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F13","1",1,3,17.3,NA,NA,45,64,30,29,35,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F13","1",4,3,17.3,NA,NA,45,64,30,29,35,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F13","2",0,3,17.3,NA,NA,45,64,30,29,35,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F13","2",0,3,17.3,NA,NA,45,64,30,29,35,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F13","2",1,3,17.3,NA,NA,45,64,30,29,35,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F14","1",0,3,22.3,NA,NA,69,89,88,52,52,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F14","1",0,3,22.3,NA,NA,69,89,88,52,52,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F14","1",0,3,22.3,NA,NA,69,89,88,52,52,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F14","2",0,3,22.3,NA,NA,69,89,88,52,52,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F14","2",0,3,22.3,NA,NA,69,89,88,52,52,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F14","2",0,3,22.3,NA,NA,69,89,88,52,52,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F15","1",1,3,29.5,NA,NA,58,60,70,70,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F15","1",1,3,29.5,NA,NA,58,60,70,70,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F15","1",0,3,29.5,NA,NA,58,60,70,70,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F15","2",1,3,29.5,NA,NA,58,60,70,70,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F15","2",0,3,29.5,NA,NA,58,60,70,70,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F15","2",0,3,29.5,NA,NA,58,60,70,70,72,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F16","1",0,3,21.6,NA,NA,45,46,51,55,61,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F16","1",1,3,21.6,NA,NA,45,46,51,55,61,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F16","1",0,3,21.6,NA,NA,45,46,51,55,61,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F16","2",1,3,21.6,NA,NA,45,46,51,55,61,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F16","2",0,3,21.6,NA,NA,45,46,51,55,61,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F16","2",0,3,21.6,NA,NA,45,46,51,55,61,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F17","1",0,3,6.7,NA,NA,34,27,28,28,32,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F17","1",0,3,6.7,NA,NA,34,27,28,28,32,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F17","1",NA,3,6.7,NA,NA,34,27,28,28,32,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F17","2",0,3,6.7,NA,NA,34,27,28,28,32,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F17","2",0,3,6.7,NA,NA,34,27,28,28,32,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F17","2",0,3,6.7,NA,NA,34,27,28,28,32,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F18","1",0,3,7.4,NA,NA,5,4,7,9,42,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F18","1",1,3,7.4,NA,NA,5,4,7,9,42,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F18","1",0,3,7.4,NA,NA,5,4,7,9,42,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F18","2",0,3,7.4,NA,NA,5,4,7,9,42,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F18","2",0,3,7.4,NA,NA,5,4,7,9,42,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F18","2",0,3,7.4,NA,NA,5,4,7,9,42,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F20","1",1,3,11.5,NA,NA,77,60,85,118,121,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F20","1",0,3,11.5,NA,NA,77,60,85,118,121,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F20","1",0,3,11.5,NA,NA,77,60,85,118,121,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F20","2",0,3,11.5,NA,NA,77,60,85,118,121,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F20","2",0,3,11.5,NA,NA,77,60,85,118,121,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F20","2",0,3,11.5,NA,NA,77,60,85,118,121,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F24","1",1,3,23.1,NA,NA,170,164,177,171,140,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F24","1",0,3,23.1,NA,NA,170,164,177,171,140,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F24","1",1,3,23.1,NA,NA,170,164,177,171,140,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F24","2",0,3,23.1,NA,NA,170,164,177,171,140,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F24","2",0,3,23.1,NA,NA,170,164,177,171,140,NA,"CS2021"
"Rumex acetosella","2021-06-07","KMW","F24","2",1,3,23.1,NA,NA,170,164,177,171,140,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","1-1",1,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","1-2",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","1-3",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","1-4",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","1-5",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","1-6",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","1-7",1,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","1-8",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","2-1",1,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","2-2",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","2-3",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","2-4",1,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","2-5",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","2-6",1,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","2-7",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N1","2-8",0,1,NA,32.385,NA,119.38,266.7,215.9,119.38,180.34,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","1-1",1,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","1-2",4,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","1-3",3,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","1-4",2,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","1-5",4,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","1-6",2,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","1-7",2,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","1-8",2,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","1-9",3,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","2-1",2,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","2-2",2,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","2-3",3,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","2-4",1,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","2-5",0,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","2-6",2,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","2-7",2,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","2-8",1,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N10","2-9",1,1,NA,34.29,NA,5.08,48.26,27.94,142.24,101.6,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-1",1,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-2",3,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-3",2,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-4",3,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-5",1,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-1",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-2",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-3",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-4",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-5",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","1-6",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","2-1",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","2-2",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","2-3",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","2-4",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","2-5",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","3-1",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","3-2",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","3-3",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","3-4",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N11","3-5",0,1,NA,15.875,NA,106.68,53.34,121.92,152.4,165.1,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","1-1",1,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","1-2",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","1-3",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","1-4",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","1-5",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","1-6",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","1-7",1,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","2-1",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","2-2",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","2-3",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","2-4",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","2-5",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","2-6",1,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","2-7",0,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N12","2-8",1,1,NA,36.83,NA,111.76,162.56,256.54,307.34,342.9,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N13","1-1",0,1,NA,44.45,NA,45.72,129.54,213.36,241.3,185.42,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N13","1-2",0,1,NA,44.45,NA,45.72,129.54,213.36,241.3,185.42,NA,"CS2021"
"Thalictrum dioicum","2021-05-06","CT","N13","1-3",0,1,NA,44.45,NA,45.72,129.54,213.36,241.3,185.42,NA,"CS2021"
