"Species","Date","Site","Label","Anther","Subsample","Tot_tube_vol_uL","Subsample_vol_uL","Pollen_sub","Observer","N_anth_tube","Anth_per_flw","polanth","count_method","source","Sex_sys"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","3","1","1",600,5,154,"Claire",5,5,3696,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","3","1","2",600,5,136,"Claire",5,5,3264,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","3","1","3",600,5,110,"Claire",5,5,2640,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","4","1","1",600,5,121,"Claire",5,5,2904,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","4","1","2",600,5,152,"Claire",5,5,3648,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","4","1","3",600,5,133,"Claire",5,5,3192,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","5","1","1",600,5,110,"Claire",5,5,2640,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","5","1","2",600,5,73,"Claire",5,5,1752,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","5","1","3",600,5,102,"Claire",5,5,2448,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","6","1","1",600,5,120,"Claire",5,5,2880,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","6","1","2",600,5,121,"Claire",5,5,2904,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","6","1","3",600,5,133,"Claire",5,5,3192,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","7","1","1",600,5,129,"Claire",5,5,3096,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","7","1","2",600,5,110,"Claire",5,5,2640,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","7","1","3",600,5,140,"Claire",5,5,3360,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","8","1","1",600,5,106,"Claire",5,5,2544,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","8","1","2",600,5,129,"Claire",5,5,3096,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","8","1","3",600,5,121,"Claire",5,5,2904,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","9","1","1",600,5,100,"Claire",5,5,2400,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","9","1","2",600,5,132,"Claire",5,5,3168,"manual","CS2021","monoecious"
"Ambrosia artemisiifolia","14 Aug 2021","FBF","9","1","3",600,5,122,"Claire",5,5,2928,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A1","1","1",600,5,28,"Claire",1,5,3360,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A1","1","2",600,5,28,"Claire",1,5,3360,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A1","1","3",600,5,24,"Claire",1,5,2880,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A2","1","1",600,5,26,"Claire",1,5,3120,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A2","1","2",600,5,31,"Claire",1,5,3720,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A2","1","3",600,5,29,"Claire",1,5,3480,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A3","1","1",600,7.5,34,"Claire",1,5,2720,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A3","1","2",600,7.5,35,"Claire",1,5,2800,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A3","1","3",600,7.5,37,"Claire",1,5,2960,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A4","1","1",600,7.5,30,"Claire",1,5,2400,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A4","1","2",600,7.5,37,"Claire",1,5,2960,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A4","1","3",600,7.5,33,"Claire",1,5,2640,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A5","1","1",600,7.5,36,"Claire",1,5,2880,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A5","1","2",600,7.5,34,"Claire",1,5,2720,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A5","1","3",600,7.5,27,"Claire",1,5,2160,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A6","1","1",600,7.5,37,"Claire",1,5,2960,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A6","1","2",600,7.5,35,"Claire",1,5,2800,"manual","CS2021","monoecious"
"Amaranthus retroflexus","16 Aug 2021","FBF2","A6","1","3",600,7.5,36,"Claire",1,5,2880,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A1","1","1",600,7.5,34,"Claire",1,5,2720,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A1","1","2",600,7.5,28,"Claire",1,5,2240,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A1","1","3",600,7.5,21,"Claire",1,5,1680,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A2","1","1",600,7.5,39,"Claire",1,5,3120,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A2","1","2",600,7.5,28,"Claire",1,5,2240,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A2","1","3",600,7.5,38,"Claire",1,5,3040,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A3","1","1",600,7.5,30,"Claire",1,5,2400,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A3","1","2",600,7.5,30,"Claire",1,5,2400,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A3","1","3",600,7.5,29,"Claire",1,5,2320,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A4","1","1",600,7.5,26,"Claire",1,5,2080,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A4","1","2",600,7.5,35,"Claire",1,5,2800,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A4","1","3",600,7.5,29,"Claire",1,5,2320,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A5","1","1",600,7.5,41,"Claire",1,5,3280,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A5","1","2",600,7.5,42,"Claire",1,5,3360,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A5","1","3",600,7.5,41,"Claire",1,5,3280,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A6","1","1",600,7.5,27,"Claire",1,5,2160,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A6","1","2",600,7.5,25,"Claire",1,5,2000,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A6","1","3",600,7.5,25,"Claire",1,5,2000,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A7","1","1",600,7.5,45,"Jeremiah",1,5,3600,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A7","1","2",600,7.5,23,"Jeremiah",1,5,1840,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A7","1","3",600,7.5,36,"Jeremiah",1,5,2880,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A8","1","1",600,7.5,23,"Jeremiah",1,5,1840,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A8","1","2",600,7.5,16,"Jeremiah",1,5,1280,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A8","1","3",600,7.5,16,"Jeremiah",1,5,1280,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A9","1","1",600,7.5,58,"Jeremiah",1,5,4640,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A9","1","2",600,7.5,42,"Jeremiah",1,5,3360,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A9","1","3",600,7.5,40,"Jeremiah",1,5,3200,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A10","1","1",600,7.5,21,"Jeremiah",1,5,1680,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A10","1","2",600,7.5,27,"Jeremiah",1,5,2160,"manual","CS2021","monoecious"
"Amaranthus retroflexus","17 Jul 2021","FBF","A10","1","3",600,7.5,14,"Jeremiah",1,5,1120,"manual","CS2021","monoecious"
"Chenopodium album","23 Jul 2021","FBF2","M1",NA,"1",600,7.5,110,"Jeremiah",5,5,1760,"manual","CS2021","hermaphroditic"
"Chenopodium album","23 Jul 2021","FBF2","M1",NA,"2",600,7.5,87,"Jeremiah",5,5,1392,"manual","CS2021","hermaphroditic"
"Chenopodium album","23 Jul 2021","FBF2","M1",NA,"3",600,7.5,107,"Jeremiah",5,5,1712,"manual","CS2021","hermaphroditic"
