"Sex_sys","msize","sdsize","maxsize","minsize","nspp","nplantstot"
"dioecious",18.2189264206296,2.36761344541279,22.3889325291158,14.768274980066,2,60
"hermaphroditic",28.8220641655354,5.22982066498469,40.4078564906534,18.0828384308346,17,428
"monoecious",23.4946948305065,2.39716907540874,28.1492792290705,17.0079366748781,8,166
