"Sex_sys","Species","Avg_stig_sp","Sd_stig_sp","Avg_prod_flw_sp","Sd_prod_flw_sp","polleff"
"dioecious","Rumex acetosella",2.25641025641026,2.43237448254626,12422.7345495774,3385.7541869233,0.000181635552736415
"dioecious","Thalictrum dioicum",3.69347826086957,6.47667287111186,79161.6086956522,34338.1582575673,4.66574431940823e-05
"monoecious","Amaranthus retroflexus",22.3977272727273,26.916874924383,13241.6666666667,3092.15255241513,0.00169145832141427
"monoecious","Ambrosia artemisiifolia",51.0340909090909,76.9166512417468,3707.27762584087,1955.43533806999,0.0137659209964119
"monoecious","Carex communis",11.2935323383085,16.1473963213949,1854.0873664757,265.350383064276,0.00609115435578179
"monoecious","Carex hirtifolia",27.2904411764706,54.215983779893,1994.0708414084,456.46427612968,0.0136857932074246
"monoecious","Carex pedunculata",10.6293103448276,13.1542885534082,1573.57568153433,377.749972588708,0.00675487710541088
"monoecious","Carex plantaginea",9.91549295774648,22.7610133758827,3018.80308490369,344.956213359517,0.00328457758882369
"monoecious","Carex stipata",4.65732087227414,11.6012264028354,1245.62616145759,219.588840306996,0.00373893951201563
"monoecious","Rumex crispus",6.63128491620112,12.5357163454974,4545.405,996.924592236175,0.00145889858355881
"monoecious","Scirpus microcarpus",5.15671641791045,5.68703694182717,507.002921364894,190.972324497316,0.0101709796938214
"hermaphroditic","Bromus inermis",50.5703324808184,75.684734359165,16976.2333333333,7355.13278758367,0.00297889004515048
"hermaphroditic","Chenopodium album",3.08666666666667,3.72716612693982,2627.29166666667,687.086404572149,0.00117484735548331
"hermaphroditic","Elymus repens",84.281954887218,69.9298261030692,14985.7386363636,5545.08945225938,0.00562414419017717
"hermaphroditic","Festuca campestris",17.8890374331551,35.7401335858941,19554.4166666667,5841.35126589575,0.000914833601947816
"hermaphroditic","Phleum pratense",38.7868852459016,43.6073826907396,5089.52291666667,1785.97108401942,0.00762092751736831
"hermaphroditic","Plantago lanceolata",94.9666666666667,107.103102241737,10994.625,3073.234449842,0.00863755395628925
"hermaphroditic","Schizachne purpurascens",92.2550607287449,121.04918927562,861.458333333333,298.326655799655,0.107091727085363
