"Species","Date","Site","Plant","Flower","Flw_pollen","Stigmas_per_flw","Flower_height","Infl_max","Infl_min","D1","D2","D3","D4","D5"
"Ambrosia artemisiifolia","2021-09-14","FBF","13","C",25,2,48,NA,NA,16,37,70,79,110
"Ambrosia artemisiifolia","2021-09-14","FBF","14","A",23,2,32,NA,NA,35,38,27,37,63
"Ambrosia artemisiifolia","2021-09-14","FBF","14","B",131,2,30,NA,NA,35,38,27,37,63
"Ambrosia artemisiifolia","2021-09-14","FBF","14","C",12,2,18,NA,NA,35,38,27,37,63
"Ambrosia artemisiifolia","2021-09-14","FBF","15","A",145,2,22,NA,NA,102,106,170,168,175
"Ambrosia artemisiifolia","2021-09-14","FBF","15","B",86,2,19,NA,NA,102,106,170,168,175
"Ambrosia artemisiifolia","2021-09-14","FBF","15","C",71,2,10,NA,NA,102,106,170,168,175
"Ambrosia artemisiifolia","2021-09-20","LP","1","A",37,2,60,NA,NA,14,66,60,36,35
"Ambrosia artemisiifolia","2021-09-20","LP","1","B",8,2,55,NA,NA,14,16,60,36,35
"Ambrosia artemisiifolia","2021-09-20","LP","1","C",7,2,62,NA,NA,14,16,60,36,35
"Ambrosia artemisiifolia","2021-09-20","LP","2","A",4,2,45,NA,NA,32,78,90,93,85
"Ambrosia artemisiifolia","2021-09-20","LP","2","B",12,2,40,NA,NA,32,78,90,93,85
"Ambrosia artemisiifolia","2021-09-20","LP","2","C",5,2,36,NA,NA,32,78,90,93,85
"Ambrosia artemisiifolia","2021-09-20","LP","3","A",5,2,71,NA,NA,117,95,75,177,205
"Ambrosia artemisiifolia","2021-09-20","LP","3","B",136,2,78,NA,NA,117,95,75,177,205
"Ambrosia artemisiifolia","2021-09-20","LP","3","C",17,2,57,NA,NA,117,95,75,177,205
"Ambrosia artemisiifolia","2021-09-20","LP","4","A",11,2,66,NA,NA,215,165,200,240,210
"Ambrosia artemisiifolia","2021-09-20","LP","4","B",16,2,71,NA,NA,215,165,200,240,210
"Ambrosia artemisiifolia","2021-09-20","LP","4","C",3,2,80,NA,NA,215,165,200,240,210
"Ambrosia artemisiifolia","2021-09-20","LP","5","A",17,2,82,NA,NA,43,70,39,58,73
"Ambrosia artemisiifolia","2021-09-20","LP","5","C",18,2,79,NA,NA,43,70,39,58,73
"Ambrosia artemisiifolia","2021-09-20","LP","6","A",24,2,89,NA,NA,37,36,62,95,78
"Ambrosia artemisiifolia","2021-09-20","LP","6","B",14,2,77,NA,NA,37,36,62,95,78
"Ambrosia artemisiifolia","2021-09-20","LP","6","C",18,2,85,NA,NA,37,36,62,95,78
"Ambrosia artemisiifolia","2021-09-20","LP","7","A",7,2,63,NA,NA,69,80,42,97,99
"Ambrosia artemisiifolia","2021-09-20","LP","7","B",11,2,71,NA,NA,69,80,42,97,99
"Ambrosia artemisiifolia","2021-09-20","LP","7","C",16,2,66,NA,NA,69,80,42,97,99
"Ambrosia artemisiifolia","2021-09-20","LP","8","A",7,2,74,NA,NA,19,17,21,15,29
"Ambrosia artemisiifolia","2021-09-20","LP","8","B",50,2,62,NA,NA,19,17,21,15,29
"Ambrosia artemisiifolia","2021-09-20","LP","8","C",5,2,43,NA,NA,19,17,21,15,29
"Ambrosia artemisiifolia","2021-09-20","LP","9","A",48,2,55,NA,NA,64,95,58,112,140
"Ambrosia artemisiifolia","2021-09-20","LP","9","B",104,2,59,NA,NA,64,95,58,112,140
"Ambrosia artemisiifolia","2021-09-20","LP","9","C",23,2,51,NA,NA,64,95,58,112,140
"Ambrosia artemisiifolia","2021-09-20","LP","10","A",33,2,41,NA,NA,52,83,84,107,120
"Ambrosia artemisiifolia","2021-09-20","LP","10","B",6,2,41,NA,NA,52,83,84,107,120
"Ambrosia artemisiifolia","2021-09-20","LP","10","C",7,2,34,NA,NA,52,83,84,107,120
"Ambrosia artemisiifolia","2021-09-20","LP","11","A",3,2,56,NA,NA,34,39,37,53,56
"Ambrosia artemisiifolia","2021-09-20","LP","11","B",15,2,69,NA,NA,34,39,37,53,56
"Ambrosia artemisiifolia","2021-09-20","LP","11","C",2,2,63,NA,NA,34,39,37,53,56
"Ambrosia artemisiifolia","2021-09-20","LP","12","A",11,2,49,NA,NA,18,23,31,20,36
"Ambrosia artemisiifolia","2021-09-20","LP","12","B",151,2,46,NA,NA,18,23,31,20,36
"Ambrosia artemisiifolia","2021-09-20","LP","12","C",6,2,52,NA,NA,18,23,31,20,36
"Ambrosia artemisiifolia","2021-09-20","LP","13","A",12,2,84,NA,NA,77,77,87,119,122
"Ambrosia artemisiifolia","2021-09-20","LP","13","B",0,2,69,NA,NA,77,77,87,119,122
"Ambrosia artemisiifolia","2021-09-20","LP","13","C",7,2,91,NA,NA,77,77,87,119,122
"Ambrosia artemisiifolia","2021-09-20","LP","14","A",0,2,33,NA,NA,113,120,70,137,145
"Ambrosia artemisiifolia","2021-09-20","LP","14","B",13,2,27,NA,NA,113,120,70,137,145
"Ambrosia artemisiifolia","2021-09-20","LP","14","C",6,2,22,NA,NA,113,120,70,137,145
"Ambrosia artemisiifolia","2021-09-20","LP","15","A",27,2,70,NA,NA,22,46,40,22,29
"Ambrosia artemisiifolia","2021-09-20","LP","15","B",25,2,46,NA,NA,22,46,40,22,29
"Ambrosia artemisiifolia","2021-09-20","LP","15","C",19,2,70,NA,NA,22,46,40,22,29
"Amaranthus sp","2021-08-16","FBF","S5","B",32,3,33,NA,NA,42,67,73,60,75
"Amaranthus sp","2021-08-16","FBF","S1","A",4,3,36,NA,NA,70,83,62,46,77
"Amaranthus sp","2021-08-16","FBF","S1","B",24,3,28,NA,NA,70,83,62,46,77
"Amaranthus sp","2021-08-16","FBF","S1","C",7,3,20,NA,NA,70,83,62,46,77
"Amaranthus sp","2021-08-16","FBF","S2","A",13,3,43,NA,NA,65,48,9,59,51
"Amaranthus sp","2021-08-16","FBF","S2","B",5,3,29,NA,NA,65,48,9,59,51
"Amaranthus sp","2021-08-16","FBF","S2","C",6,3,20,NA,NA,65,48,9,59,51
"Amaranthus sp","2021-08-16","FBF","S3","A",3,3,29,NA,NA,11,10,27,29,40
"Amaranthus sp","2021-08-16","FBF","S3","B",102,3,26,NA,NA,11,10,27,29,40
"Amaranthus sp","2021-08-16","FBF","S3","C",21,3,20,NA,NA,11,10,27,29,40
"Amaranthus sp","2021-08-16","FBF","S4","A",5,3,57,NA,NA,35,40,47,8,41
"Amaranthus sp","2021-08-16","FBF","S4","B",14,3,51,NA,NA,35,40,47,8,41
"Amaranthus sp","2021-08-16","FBF","S4","C",7,3,44,NA,NA,35,40,47,8,41
"Amaranthus sp","2021-08-16","FBF","S5","A",13,3,38,NA,NA,42,67,73,60,75
"Amaranthus sp","2021-08-16","FBF","S5","C",105,3,24,NA,NA,42,67,73,60,75
"Amaranthus sp","2021-08-16","FBF","S6","A",7,3,24,NA,NA,17,33,44,38,86
"Amaranthus sp","2021-08-16","FBF","S6","B",17,3,21,NA,NA,17,33,44,38,86
"Amaranthus sp","2021-08-16","FBF","S6","C",4,3,18,NA,NA,17,33,44,38,86
"Amaranthus sp","2021-08-16","FBF","S7","A",3,3,71,NA,NA,33,76,90,110,81
"Amaranthus sp","2021-08-16","FBF","S7","B",21,3,53,NA,NA,33,76,90,110,81
"Amaranthus sp","2021-08-16","FBF","S7","C",7,3,36,NA,NA,33,76,90,110,81
"Amaranthus sp","2021-08-16","FBF","S8","A",48,3,43,NA,NA,33,79,52,74,87
"Amaranthus sp","2021-08-16","FBF","S8","B",7,3,38,NA,NA,33,79,52,74,87
"Amaranthus sp","2021-08-16","FBF","S8","C",4,3,29,NA,NA,33,79,52,74,87
"Amaranthus sp","2021-08-16","FBF","S9","A",8,3,52,NA,NA,51,57,30,57,41
"Amaranthus sp","2021-08-16","FBF","S9","B",4,4,36,NA,NA,51,57,30,57,41
"Amaranthus sp","2021-08-16","FBF","S9","C",7,3,22,NA,NA,51,57,30,57,41
"Amaranthus sp","2021-08-16","FBF","S10","A",24,3,61,NA,NA,28,32,62,40,44
"Amaranthus sp","2021-08-16","FBF","S10","B",50,3,49,NA,NA,28,32,62,40,44
"Amaranthus sp","2021-08-16","FBF","S10","C",20,3,28,NA,NA,28,32,62,40,44
"Amaranthus sp","2021-08-16","FBF","S11","A",16,3,66,NA,NA,55,39,28,37,51
"Amaranthus sp","2021-08-16","FBF","S11","B",41,3,32,NA,NA,55,39,28,37,51
"Amaranthus sp","2021-08-16","FBF","S11","C",24,3,14,NA,NA,55,39,28,37,51
"Amaranthus sp","2021-08-16","FBF","S12","A",4,3,25,NA,NA,38,51,52,59,50
"Amaranthus sp","2021-08-16","FBF","S12","B",40,3,21,NA,NA,38,51,52,59,50
"Amaranthus sp","2021-08-16","FBF","S13","A",86,3,58,NA,NA,24,19,14,12,16
"Amaranthus sp","2021-08-16","FBF","S13","B",18,3,47,NA,NA,24,19,14,12,16
"Amaranthus sp","2021-08-16","FBF","S13","C",21,3,37,NA,NA,24,19,14,12,16
"Amaranthus sp","2021-08-16","FBF","S14","A",20,3,57,NA,NA,30,23,24,15,28
"Amaranthus sp","2021-08-16","FBF","S14","B",17,3,43,NA,NA,30,23,24,15,28
"Amaranthus sp","2021-08-16","FBF","S14","C",40,3,33,NA,NA,30,23,24,15,28
"Amaranthus sp","2021-08-16","FBF","S15","A",24,3,51,NA,NA,41,30,20,33,26
"Amaranthus sp","2021-08-16","FBF","S15","B",7,3,41,NA,NA,41,30,20,33,26
"Amaranthus sp","2021-08-16","FBF","S15","C",35,3,35,NA,NA,41,30,20,33,26
"Amaranthus sp","2021-08-14","FBF2","S1","A",6,3,74,NA,NA,47,169,114,170,120
"Amaranthus sp","2021-08-14","FBF2","S1","B",1,3,65,NA,NA,47,169,114,170,120
"Amaranthus sp","2021-08-14","FBF2","S1","C",47,3,56,NA,NA,47,169,114,170,120
"Amaranthus sp","2021-08-14","FBF2","S2","A",9,3,105,NA,NA,48,135,122,158,104
"Amaranthus sp","2021-08-14","FBF2","S2","B",7,3,78,NA,NA,48,135,122,158,104
"Amaranthus sp","2021-08-14","FBF2","S2","C",5,3,61,NA,NA,48,135,122,158,104
"Amaranthus sp","2021-08-14","FBF2","S3","A",20,3,60,NA,NA,70,120,142,135,174
"Amaranthus sp","2021-08-14","FBF2","S3","B",45,3,44,NA,NA,70,120,142,135,174
"Amaranthus sp","2021-08-14","FBF2","S3","C",66,3,34,NA,NA,70,120,142,135,174
"Amaranthus sp","2021-08-14","FBF2","S4","A",2,3,76,NA,NA,72,87,107,162,181
"Amaranthus sp","2021-08-14","FBF2","S4","B",3,3,52,NA,NA,72,87,107,162,181
"Amaranthus sp","2021-08-14","FBF2","S5","A",5,3,65,NA,NA,23,85,33,81,69
"Amaranthus sp","2021-08-14","FBF2","S5","B",30,3,45,NA,NA,23,85,33,81,69
"Amaranthus sp","2021-08-14","FBF2","S5","C",6,3,32,NA,NA,23,85,33,81,69
"Amaranthus sp","2021-08-14","FBF2","S6","A",14,3,48,NA,NA,18,18,46,86,272
"Amaranthus sp","2021-08-14","FBF2","S6","B",73,4,36,NA,NA,18,18,46,86,272
"Amaranthus sp","2021-08-14","FBF2","S6","C",12,3,28,NA,NA,18,18,46,86,272
"Amaranthus sp","2021-08-14","FBF2","S7","A",4,3,41,NA,NA,50,74,101,88,78
"Amaranthus sp","2021-08-14","FBF2","S7","B",43,3,35,NA,NA,50,74,101,88,78
"Amaranthus sp","2021-08-14","FBF2","S7","C",49,3,22,NA,NA,50,74,101,88,78
"Amaranthus sp","2021-08-14","FBF2","S8","A",8,3,59,NA,NA,83,232,240,260,280
"Amaranthus sp","2021-08-14","FBF2","S8","B",150,3,45,NA,NA,83,232,240,260,280
"Amaranthus sp","2021-08-14","FBF2","S8","C",16,3,35,NA,NA,83,232,240,260,280
"Amaranthus sp","2021-08-14","FBF2","S9","A",1,3,30,NA,NA,19,33,64,99,280
"Amaranthus sp","2021-08-14","FBF2","S9","B",3,3,26,NA,NA,19,33,64,99,280
"Amaranthus sp","2021-08-14","FBF2","S9","C",44,3,18,NA,NA,19,33,64,99,280
"Amaranthus sp","2021-08-14","FBF2","S10","A",2,3,39,NA,NA,50,30,47,60,220
"Amaranthus sp","2021-08-14","FBF2","S10","B",12,3,30,NA,NA,50,30,47,60,220
"Amaranthus sp","2021-08-14","FBF2","S10","C",18,3,19,NA,NA,50,30,47,60,220
"Amaranthus sp","2021-08-14","FBF2","S11","A",1,3,61,NA,NA,134,180,330,310,80
"Amaranthus sp","2021-08-14","FBF2","S11","B",1,3,50,NA,NA,134,180,330,310,80
"Amaranthus sp","2021-08-14","FBF2","S11","C",40,3,42,NA,NA,134,180,330,310,80
"Amaranthus sp","2021-08-14","FBF2","S12","A",3,3,34,NA,NA,80,240,275,185,235
"Amaranthus sp","2021-08-14","FBF2","S12","B",0,3,20,NA,NA,80,240,275,185,235
"Amaranthus sp","2021-08-14","FBF2","S12","C",12,3,13,NA,NA,80,240,275,185,235
"Amaranthus sp","2021-08-14","FBF2","S13","A",11,3,80,NA,NA,215,122,200,233,60
"Amaranthus sp","2021-08-14","FBF2","S13","B",40,3,60,NA,NA,215,122,200,233,60
"Amaranthus sp","2021-08-14","FBF2","S13","C",11,3,43,NA,NA,215,122,200,233,60
"Amaranthus sp","2021-08-14","FBF2","S14","A",4,3,78,NA,NA,112,97,100,242,211
"Amaranthus sp","2021-08-14","FBF2","S14","B",98,3,55,NA,NA,112,97,100,242,211
"Amaranthus sp","2021-08-14","FBF2","S14","C",9,3,42,NA,NA,112,97,100,242,211
"Amaranthus sp","2021-08-14","FBF2","S15","A",13,3,52,NA,NA,100,101,112,207,261
"Amaranthus sp","2021-08-14","FBF2","S15","B",25,3,40,NA,NA,100,101,112,207,261
"Amaranthus sp","2021-08-14","FBF2","S15","C",17,3,35,NA,NA,100,101,112,207,261
"Chenopodium album","2021-07-23","FBF2","1","A",16,1,73,83,NA,14,18,20,16,30
"Chenopodium album","2021-07-23","FBF2","1","A2",2,1,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","2021-07-23","FBF2","1","B",4,1,78,83,NA,14,18,20,16,30
"Chenopodium album","2021-07-23","FBF2","2","A",0,1,68,78,NA,27,18,26,34,39
"Chenopodium album","2021-07-23","FBF2","2","B",8,1,78,78,NA,27,18,26,34,39
"Chenopodium album","2021-07-23","FBF2","3","A",2,1,60,74,NA,71,69,68,35,32
"Chenopodium album","2021-07-23","FBF2","3","B",0,1,72,74,NA,71,69,68,35,32
"Chenopodium album","2021-07-23","FBF2","4","A1",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","2021-07-23","FBF2","4","A2",2,1,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","2021-07-23","FBF2","4","B",3,1,76,81,NA,28,27,15,50,55
"Chenopodium album","2021-07-23","FBF2","5","A",3,1,72,82,NA,36,40,42,42,41
"Chenopodium album","2021-07-23","FBF2","5","B",5,1,72,82,NA,36,40,42,42,41
"Chenopodium album","2021-07-23","FBF2","6","A",6,1,126,130,NA,25,36,34,60,80
"Chenopodium album","2021-07-23","FBF2","6","A2",1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","2021-07-23","FBF2","6","B",2,1,116,130,NA,25,36,34,60,80
"Chenopodium album","2021-07-23","FBF2","7","A",1,1,59,62,NA,13,23,25,26,34
"Chenopodium album","2021-07-23","FBF2","7","B",1,1,59,62,NA,13,23,25,26,34
"Chenopodium album","2021-07-23","FBF2","8","A",9,1,54,59,NA,18,27,39,35,37
"Chenopodium album","2021-07-23","FBF2","8","B",3,1,55,59,NA,18,27,39,35,37
"Chenopodium album","2021-07-23","FBF2","9","A",0,1,94,96,NA,52,75,127,135,88
"Chenopodium album","2021-07-23","FBF2","9","B",2,1,87,96,NA,52,75,127,135,88
"Chenopodium album","2021-07-23","FBF2","10","A",6,1,98,101,NA,19,20,18,36,42
"Chenopodium album","2021-07-23","FBF2","10","B",1,1,91,101,NA,19,20,18,36,42
"Chenopodium album","2021-07-23","FBF2","11","A",0,1,103,105,NA,36,28,42,45,46
"Chenopodium album","2021-07-23","FBF2","11","B",1,1,98,105,NA,36,28,42,45,46
"Chenopodium album","2021-07-23","FBF2","12","A",1,1,81,86,NA,19,38,58,51,66
"Chenopodium album","2021-07-23","FBF2","12","B",1,1,84,86,NA,19,38,58,51,66
"Chenopodium album","2021-07-23","FBF2","13","A",2,1,84,92,NA,23,46,56,70,97
"Chenopodium album","2021-07-23","FBF2","13","B",1,1,86,92,NA,23,46,56,70,97
"Chenopodium album","2021-07-23","FBF2","14","A",0,1,94,102,NA,64,29,39,76,91
"Chenopodium album","2021-07-23","FBF2","14","B",1,1,99,102,NA,64,29,39,76,91
"Chenopodium album","2021-07-23","FBF2","15","A",1,1,106,107,NA,61,78,93,95,93
"Chenopodium album","2021-07-23","FBF2","15","B",6,1,100,107,NA,61,78,93,95,93
"Chenopodium album","2021-07-22","FBF","1","A",1,1,78,98,NA,30,50,27,41,94
"Chenopodium album","2021-07-22","FBF","1","B",1,1,85,98,NA,30,50,27,41,94
"Chenopodium album","2021-07-22","FBF","2","A",0,1,70,86,NA,8,30,39,47,50
"Chenopodium album","2021-07-22","FBF","2","B",2,1,82,86,NA,8,30,39,47,50
"Chenopodium album","2021-07-22","FBF","3","A",NA,1,74,75,NA,27,34,48,60,52
"Chenopodium album","2021-07-22","FBF","3","B",0,1,63,75,NA,27,34,48,60,52
"Chenopodium album","2021-07-22","FBF","4","A",3,1,98,102,NA,47,32,33,37,30
"Chenopodium album","2021-07-22","FBF","4","B",1,1,88,102,NA,47,32,33,37,30
"Chenopodium album","2021-07-22","FBF","5","A",0,1,108,112,NA,44,43,58,45,51
"Chenopodium album","2021-07-22","FBF","5","B",1,1,82,112,NA,44,43,58,45,51
"Chenopodium album","2021-07-22","FBF","6","A",0,1,94,100,NA,15,34,43,47,32
"Chenopodium album","2021-07-22","FBF","6","B",0,1,74,100,NA,15,34,43,47,32
"Chenopodium album","2021-07-22","FBF","7","A",7,1,70,80,NA,24,36,21,48,33
"Chenopodium album","2021-07-22","FBF","7","B",3,1,73,80,NA,24,36,21,48,33
"Chenopodium album","2021-07-22","FBF","8","A",0,1,65,68,NA,16,38,40,63,43
"Chenopodium album","2021-07-22","FBF","8","B",2,1,66,68,NA,16,38,40,63,43
"Chenopodium album","2021-07-22","FBF","9","B1",3,1,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","2021-07-22","FBF","9","B2",0,1,NA,NA,NA,NA,NA,NA,NA,NA
"Chenopodium album","2021-07-22","FBF","10","A",0,1,59,69,NA,40,88,70,92,81
"Chenopodium album","2021-07-22","FBF","10","B",1,1,57,69,NA,40,88,70,92,81
"Chenopodium album","2021-07-22","FBF","11","A",0,1,96,99,NA,59,58,70,56,71
"Chenopodium album","2021-07-22","FBF","11","B",0,1,73,99,NA,59,58,70,56,71
"Chenopodium album","2021-07-22","FBF","12","A",0,1,94,104,NA,29,41,49,45,33
"Chenopodium album","2021-07-22","FBF","12","B",0,1,79,104,NA,29,41,49,45,33
"Chenopodium album","2021-07-22","FBF","13","A",3,1,72,94,NA,33,58,55,64,54
"Chenopodium album","2021-07-22","FBF","13","B",7,1,92,94,NA,33,58,55,64,54
"Chenopodium album","2021-07-22","FBF","14","A",3,1,63,85,NA,13,13,30,35,33
"Chenopodium album","2021-07-22","FBF","14","B",NA,1,83,85,NA,13,13,30,35,33
"Chenopodium album","2021-07-22","FBF","15","A",1,1,78,84,NA,24,31,69,48,62
"Chenopodium album","2021-07-22","FBF","15","B",8,1,68,84,NA,24,31,69,48,62
"Dicanthelium sp 1","2021-06-07","KMW","1","1",12,2,16,NA,NA,9,10,10,20,17
"Dicanthelium sp 1","2021-06-07","KMW","10","1",0,2,17.5,NA,NA,74,60,111,147,159
"Dicanthelium sp 1","2021-06-07","KMW","11","1",2,2,18,NA,NA,38,52,56,66,38
"Dicanthelium sp 1","2021-06-07","KMW","12","1",16,2,18.5,NA,NA,13,15,10,41,35
"Dicanthelium sp 1","2021-06-07","KMW","13","1",22,2,23,NA,NA,22,44,40,52,90
"Dicanthelium sp 1","2021-06-07","KMW","2","1",13,2,12.5,NA,NA,13,17,27,26,35
"Dicanthelium sp 1","2021-06-07","KMW","3","1",48,2,18,NA,NA,16,50,54,39,58
"Dicanthelium sp 1","2021-06-07","KMW","4","1",13,2,17,NA,NA,27,53,51,56,56
"Dicanthelium sp 1","2021-06-07","KMW","45","1",23,2,NA,NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1","2021-06-07","KMW","5","1",9,2,17.5,NA,NA,28,26,42,48,54
"Dicanthelium sp 1","2021-06-07","KMW","6","1",14,2,17,NA,NA,108,121,140,145,145
"Dicanthelium sp 1","2021-06-07","KMW","7","1",3,2,13,NA,NA,14,46,94,89,80
"Dicanthelium sp 1","2021-06-07","KMW","8","1",18,2,10.5,NA,NA,34,107,116,94,113
"Dicanthelium sp 1","2021-06-07","KMW","9","1",5,2,10,NA,NA,31,25,54,52,56
"Dicanthelium sp 1","2021-06-09","KMW","1SA1","1",32,2,NA,NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1","2021-06-09","KMW","1SA2","1",72,2,NA,NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1","2021-06-09","KMW","1SA3","1",4,2,NA,NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1","2021-06-09","KMW","1SNA1","1",260,2,NA,NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1","2021-06-09","KMW","1SNA2","1",53,2,NA,NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 1","2021-06-09","KMW","1SNA3","1",142,2,NA,NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 2","2021-06-20","KME","S1","b1",17,2,31,33.5,30.5,9,16,19,10,14
"Dicanthelium sp 2","2021-06-20","KME","S1","b2",20,2,31,33.5,30.5,9,16,19,10,14
"Dicanthelium sp 2","2021-06-20","KME","S1","m1",31,2,32,33.5,30.5,9,16,19,10,14
"Dicanthelium sp 2","2021-06-20","KME","S1","m2",31,2,NA,NA,NA,NA,NA,NA,NA,NA
"Dicanthelium sp 2","2021-06-20","KME","S1","t1",26,2,33.5,33.5,30.5,9,16,19,10,14
"Dicanthelium sp 2","2021-06-20","KME","S1","t2",22,2,33,33.5,30.5,9,16,19,10,14
"Dicanthelium sp 2","2021-06-20","KME","S2","m1",3,2,37,39.5,35,6,7,8,15,12
"Dicanthelium sp 2","2021-06-20","KME","S2","t1",26,2,38,39.5,35,6,7,8,15,12
"Dicanthelium sp 2","2021-06-20","KME","S3","m1",14,2,42.5,47,40,NA,NA,NA,NA,NA
"Dicanthelium sp 2","2021-06-20","KME","S3","m2",79,2,41.5,47,40,NA,NA,NA,NA,NA
"Dicanthelium sp 2","2021-06-21","KMW","S1","A",7,2,33.5,31,37,21,38,39,50,45
"Dicanthelium sp 2","2021-06-21","KMW","S10","A",39,2,31,34.5,29.5,14,22,15,9,15
"Dicanthelium sp 2","2021-06-21","KMW","S11","A",26,2,46,59,42,12,15,23,23,29
"Dicanthelium sp 2","2021-06-21","KMW","S12","A",19,2,43,46,40,19,12,8,15,29
"Dicanthelium sp 2","2021-06-21","KMW","S13","A",8,2,41.5,46,40,10,18,13,16,27
"Dicanthelium sp 2","2021-06-21","KMW","S14","A",24,2,29,31.5,26.5,20,29,22,22,26
"Dicanthelium sp 2","2021-06-21","KMW","S15","A",6,2,31.5,33.5,29.5,14,12,32,36,46
"Dicanthelium sp 2","2021-06-21","KMW","S2","A",24,2,27.5,26,31,41,42,13,29,10
"Dicanthelium sp 2","2021-06-21","KMW","S3","A",30,2,32.5,29.5,35,13,47,57,45,82
"Dicanthelium sp 2","2021-06-21","KMW","S4","A",74,2,45,41.5,46.5,20,8,17,22,34
