"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Flower_height","Flower_min","Flower_max","D1","D2","D3","D4","D5","Stems","Time","Population","Obs_field"
"Purple stigma grass",2021-07-16,"FBF3","42","B",2,83,"Claire","",52,48,56,4,9,16,23,24,5,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","42","C",1,35,"Claire","",55.5,48,56,4,9,16,23,24,5,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","42","C",2,16,"Claire","",55.5,48,56,4,9,16,23,24,5,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","43","A",1,35,"Claire","",57.5,57,64,26,23,23,20,8,4,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","43","A",2,18,"Claire","",57.5,57,64,26,23,23,20,8,4,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","43","B",1,17,"Claire","",59,57,64,26,23,23,20,8,4,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","43","B",2,22,"Claire","",59,57,64,26,23,23,20,8,4,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","43","C",1,17,"Claire","",62,57,64,26,23,23,20,8,4,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","43","C",2,7,"Claire","",62,57,64,26,23,23,20,8,4,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","44","A",1,11,"Claire","",41,40,46.5,13,20,19,16,19,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","44","A",2,22,"Claire","",41,40,46.5,13,20,19,16,19,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","44","B",1,12,"Claire","",43.5,40,46.5,13,20,19,16,19,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","44","B",2,11,"Claire","",43.5,40,46.5,13,20,19,16,19,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","44","C",1,16,"Claire","",46,40,46.5,13,20,19,16,19,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","44","C",2,9,"Claire","",46,40,46.5,13,20,19,16,19,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","45","A",1,23,"Claire","",26.5,24.5,30,21,8,15,20,24,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","45","A",2,25,"Claire","",26.5,24.5,30,21,8,15,20,24,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","45","B",1,28,"Claire","",27,24.5,30,21,8,15,20,24,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","45","B",2,6,"Claire","",27,24.5,30,21,8,15,20,24,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","45","C",1,15,"Claire","",29,24.5,30,21,8,15,20,24,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","45","C",2,21,"Claire","",29,24.5,30,21,8,15,20,24,1,"1:00 PM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","5","A",1,76,"Claire","",38,36,42,12,14,7,10,11,6,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","5","B",1,16,"Claire","",39,36,42,12,14,7,10,11,6,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","5","B",2,25,"Claire","",39,36,42,12,14,7,10,11,6,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","5","C",1,28,"Claire","",41,36,42,12,14,7,10,11,6,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","5","C",2,28,"Claire","",41,36,42,12,14,7,10,11,6,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","6","A",1,33,"Claire","",26,22,28,8,8,11,12,13,2,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","6","A",2,25,"Claire","",26,22,28,8,8,11,12,13,2,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","6","B",1,70,"Claire","",26,22,28,8,8,11,12,13,2,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","6","B",2,25,"Claire","",26,22,28,8,8,11,12,13,2,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","6","C",1,15,"Claire","",27,22,28,8,8,11,12,13,2,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","6","C",2,9,"Claire","",27,22,28,8,8,11,12,13,2,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","7","A",1,9,"Claire","",42,41,46,9,12,16,10,15,4,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","7","A",2,2,"Claire","",42,41,46,9,12,16,10,15,4,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","7","B",1,18,"Claire","",44,41,46,9,12,16,10,15,4,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","7","B",2,20,"Claire","",44,41,46,9,12,16,10,15,4,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","7","C",1,5,"Claire","",46,41,46,9,12,16,10,15,4,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","7","C",2,7,"Claire","",46,41,46,9,12,16,10,15,4,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","8","A",1,17,"Claire","",37,36,42,4,8,6,10,15,1,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","8","A",2,55,"Claire","",37,36,42,4,8,6,10,15,1,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","8","B",1,53,"Jeremiah","",39,36,42,4,8,6,10,15,1,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","8","B",2,33,"Jeremiah","",39,36,42,4,8,6,10,15,1,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","8","C",1,22,"Claire","",41.5,36,42,4,8,6,10,15,1,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","8","C",2,2,"Claire","",41.5,36,42,4,8,6,10,15,1,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","9","A",1,40,"Claire","",52,51,66.5,13,14,14,14,17,2,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","9","A",2,22,"Claire","",52,51,66.5,13,14,14,14,17,2,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF1","9","C",1,6,"Claire","",53.5,51,66.5,13,14,14,14,17,2,"10:00 AM","FBF","Claire"
"Purple stigma grass",2021-07-16,"FBF3","XX","B",1,97,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purple stigma grass",2021-07-16,"FBF3","XX","B",2,68,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
