"","Filename","Area","Red_mean","Red_sd","Green_mean","Green_sd","Blue_mean","Blue_sd","Circ","AR","Round","Solidity"
"1","Asp_Area_1-1_RAW_ch00.tif_results.csv",440.042,163.103,11.609,95.53,19.258,150.577,18.076,0.884,1.031,0.969,0.974
"2","Asp_Area_1-1_RAW_ch00.tif_results.csv",539.506,178.856,7.31,101.03,16.453,160.395,15.673,0.89,1.037,0.964,0.975
"3","Asp_Area_1-1_RAW_ch00.tif_results.csv",499.144,162.487,10.77,90.981,20.081,151.827,17.309,0.881,1.03,0.971,0.974
"4","Asp_Area_1-2_RAW_ch00.tif_results.csv",466.469,166.574,8.418,94.021,13.83,151.21,17.053,0.889,1.016,0.985,0.975
"5","Asp_Area_1-2_RAW_ch00.tif_results.csv",409.098,153.953,10.16,84.864,16.774,152.165,17.126,0.886,1.061,0.943,0.972
"6","Asp_Area_1-2_RAW_ch00.tif_results.csv",357.876,153.08,12.883,79.903,20.169,160.993,13.035,0.883,1.093,0.915,0.972
"7","Asp_Area_1-2_RAW_ch00.tif_results.csv",418.131,160.395,8.874,84.758,17.603,159.923,13.762,0.904,1.053,0.95,0.976
"8","Asp_Area_1-2_RAW_ch00.tif_results.csv",431.681,158.701,9.176,84.478,17.243,158.984,14.398,0.843,1.038,0.963,0.966
"9","Asp_Area_1-2_RAW_ch00.tif_results.csv",413.614,168.316,7.82,92.521,14.632,157.792,13.754,0.887,1.026,0.974,0.974
"10","Asp_Area_1-3_RAW_ch00.tif_results.csv",397.854,158.105,10.671,85.094,18.184,148.951,18.664,0.892,1.084,0.923,0.974
"11","Asp_Area_1-3_RAW_ch00.tif_results.csv",469.929,158.823,10.545,87.379,17.17,142.628,19.706,0.901,1.025,0.975,0.977
"12","Asp_Area_1-3_RAW_ch00.tif_results.csv",482.71,157.663,11.32,83.015,18.569,147.504,18.604,0.902,1.088,0.919,0.976
"13","Asp_Area_2-1_RAW_ch00.tif_results.csv",494.146,148.04,14.775,86.144,21.386,145.894,21.389,0.915,1.026,0.975,0.979
