"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Stems","Flw_per_stem","Infl_max","Infl_min","Flower_height","Flower_pos","D1","D2","D3","D4","D5","Obs_field"
"Phleum pratense",2021-07-05,"KME","S18","A",1,9,"Jeremiah","",1,500,45,43,43.5,"l",53,79,88,138,115,"Claire"
"Phleum pratense",2021-07-05,"KME","S18","A",2,21,"Jeremiah","",1,500,45,43,43.5,"l",53,79,88,138,115,"Claire"
"Phleum pratense",2021-07-05,"KME","16","A",1,6,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","16","A",2,14,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","S18","C",1,11,"Jeremiah","",1,500,45,43,44.5,"t",53,79,88,138,115,"Claire"
"Phleum pratense",2021-07-05,"KME","S18","C",2,0,"Jeremiah","",1,500,45,43,44.5,"t",53,79,88,138,115,"Claire"
"Phleum pratense",2021-07-05,"KME","20","C",1,30,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","20","C",2,5,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","S19","C",1,0,"Jeremiah","",1,2400,94.5,87.5,94,"t",34,40,87,89,32,"Claire"
"Phleum pratense",2021-07-05,"KME","S19","C",2,0,"Jeremiah","",1,2400,94.5,87.5,94,"t",34,40,87,89,32,"Claire"
"Phleum pratense",2021-07-05,"KME","20","A",1,2,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","20","A",2,4,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","S18","B",1,17,"Jeremiah","",1,500,45,43,44,"m",53,79,88,138,115,"Claire"
"Phleum pratense",2021-07-05,"KME","S18","B",2,14,"Jeremiah","",1,500,45,43,44,"m",53,79,88,138,115,"Claire"
"Phleum pratense",2021-07-05,"KME","S10","C",1,2,"Jeremiah","",1,700,55.5,52,55.5,"t",41,54,65,75,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S10","C",2,9,"Jeremiah","",1,700,55.5,52,55.5,"t",41,54,65,75,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S18","D",1,16,"Jeremiah","",1,500,45,43,44.5,"t",53,79,88,138,115,"Claire"
"Phleum pratense",2021-07-05,"KME","S18","D",2,37,"Jeremiah","",1,500,45,43,44.5,"t",53,79,88,138,115,"Claire"
"Phleum pratense",2021-07-05,"KME","20","B",1,50,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","20","B",2,21,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","S17","C",1,101,"Jeremiah","",2,600,64.5,62,64.5,"t",39,62,83,86,55,"Claire"
"Phleum pratense",2021-07-05,"KME","S17","C",2,98,"Jeremiah","",2,600,64.5,62,64.5,"t",39,62,83,86,55,"Claire"
"Phleum pratense",2021-07-05,"KME","S8","C",1,8,"Jeremiah","",2,700,56.5,54.5,55.5,"m",29,59,48,48,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S8","C",2,6,"Jeremiah","",2,700,56.5,54.5,55.5,"m",29,59,48,48,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S19","B",1,5,"Jeremiah","",1,2400,94.5,87.5,91,"m",34,40,87,89,32,"Claire"
"Phleum pratense",2021-07-05,"KME","S19","B",2,4,"Jeremiah","",1,2400,94.5,87.5,91,"m",34,40,87,89,32,"Claire"
"Phleum pratense",2021-07-05,"KME","S10","A",1,6,"Jeremiah","",1,700,55.5,52,53,"l",41,54,65,75,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S10","A",2,9,"Jeremiah","",1,700,55.5,52,53,"l",41,54,65,75,88,"Claire"
"Phleum pratense",2021-07-05,"KME","S18","A",1,27,"Jeremiah","",1,500,45,43,43.5,"l",53,79,88,138,115,"Claire"
"Phleum pratense",2021-07-05,"KME","S18","A",2,26,"Jeremiah","",1,500,45,43,43.5,"l",53,79,88,138,115,"Claire"
"Phleum pratense",2021-07-05,"KME","S17","B",1,14,"Jeremiah","",2,600,64.5,62,63,"m",39,62,83,86,55,"Claire"
"Phleum pratense",2021-07-05,"KME","S17","B",2,5,"Jeremiah","",2,600,64.5,62,63,"m",39,62,83,86,55,"Claire"
"Phleum pratense",2021-07-05,"KME","S17","A",1,48,"Jeremiah","",2,600,64.5,62,63,"m",39,62,83,86,55,"Claire"
"Phleum pratense",2021-07-05,"KME","S17","A",2,121,"Jeremiah","",2,600,64.5,62,63,"m",39,62,83,86,55,"Claire"
"Phleum pratense",2021-07-05,"KME","S5","B",1,24,"Jeremiah","",2,700,73.5,70,72,"m",16,12,16,88,89,"Claire"
"Phleum pratense",2021-07-05,"KME","S5","B",2,12,"Jeremiah","",2,700,73.5,70,72,"m",16,12,16,88,89,"Claire"
"Phleum pratense",2021-07-05,"KME","16","C",1,28,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","16","C",2,19,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","12","A",1,8,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","12","A",2,15,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","S9","B",1,1,"Jeremiah","",1,500,55.5,52.5,54,"m",12,44,50,51,94,"Claire"
"Phleum pratense",2021-07-05,"KME","S9","B",2,4,"Jeremiah","",1,500,55.5,52.5,54,"m",12,44,50,51,94,"Claire"
"Phleum pratense",2021-07-05,"KME","S7","A",1,15,"Jeremiah","",1,1200,73.5,69,70.5,"l",15,15,17,74,87,"Claire"
"Phleum pratense",2021-07-05,"KME","S7","A",2,28,"Jeremiah","",1,1200,73.5,69,70.5,"l",15,15,17,74,87,"Claire"
"Phleum pratense",2021-07-05,"KME","S14","A",1,15,"Jeremiah","",1,1400,78,72.5,74,"l",24,48,64,60,58,"Claire"
"Phleum pratense",2021-07-05,"KME","S14","A",2,3,"Jeremiah","",1,1400,78,72.5,74,"l",24,48,64,60,58,"Claire"
"Phleum pratense",2021-07-05,"KME","S8","E",1,7,"Jeremiah","",2,700,56.5,54.5,56,"t",29,59,48,48,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S8","E",2,14,"Jeremiah","",2,700,56.5,54.5,56,"t",29,59,48,48,81,"Claire"
"Phleum pratense",2021-07-05,"KME","S14","B",1,11,"Jeremiah","",1,1400,78,72.5,76.5,"m",24,48,64,60,58,"Claire"
"Phleum pratense",2021-07-05,"KME","S14","B",2,NA,"Jeremiah","Only one stigma",1,1400,78,72.5,76.5,"m",24,48,64,60,58,"Claire"
"Phleum pratense",2021-07-05,"KME","S12","B",1,43,"Jeremiah","",4,900,70,66,68,"m",15,17,35,36,12,"Claire"
"Phleum pratense",2021-07-05,"KME","S12","B",2,52,"Jeremiah","",4,900,70,66,68,"m",15,17,35,36,12,"Claire"
"Phleum pratense",2021-07-05,"KME","S13","A",1,9,"Jeremiah","",3,400,61,59,59.5,"l",17,16,13,26,50,"Claire"
"Phleum pratense",2021-07-05,"KME","S13","A",2,1,"Jeremiah","",3,400,61,59,59.5,"l",17,16,13,26,50,"Claire"
"Phleum pratense",2021-07-05,"KME","S9","C",1,7,"Jeremiah","",1,500,55.5,52.5,54.5,"t",12,44,50,51,94,"Claire"
"Phleum pratense",2021-07-05,"KME","S9","C",2,14,"Jeremiah","",1,500,55.5,52.5,54.5,"t",12,44,50,51,94,"Claire"
"Phleum pratense",2021-07-05,"KME","15","C",1,6,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","15","C",2,1,"Jeremiah","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phleum pratense",2021-07-05,"KME","S13","C",1,12,"Jeremiah","",3,400,61,59,61,"t",17,16,13,26,50,"Claire"
"Phleum pratense",2021-07-05,"KME","S13","C",2,13,"Jeremiah","",3,400,61,59,61,"t",17,16,13,26,50,"Claire"
"Phleum pratense",2021-07-05,"KME","S12","C",1,7,"Jeremiah","",4,900,70,66,69,"t",15,17,35,36,12,"Claire"
"Phleum pratense",2021-07-05,"KME","S12","C",2,4,"Jeremiah","",4,900,70,66,69,"t",15,17,35,36,12,"Claire"
"Phleum pratense",2021-07-05,"KME","S15","B",1,8,"Jeremiah","",1,1300,111,106,109,"m",111,111,117,110,125,"Claire"
"Phleum pratense",2021-07-05,"KME","S15","B",2,18,"Jeremiah","",1,1300,111,106,109,"m",111,111,117,110,125,"Claire"
"Phleum pratense",2021-07-05,"KME","S13","B",1,0,"Jeremiah","",3,400,61,59,60,"m",17,16,13,26,50,"Claire"
"Phleum pratense",2021-07-05,"KME","S13","B",2,0,"Jeremiah","",3,400,61,59,60,"m",17,16,13,26,50,"Claire"
"Phleum pratense",2021-07-05,"KME","S15","A",1,3,"Jeremiah","",1,1300,111,106,108,"l",111,111,117,110,125,"Claire"
"Phleum pratense",2021-07-05,"KME","S15","A",2,22,"Jeremiah","",1,1300,111,106,108,"l",111,111,117,110,125,"Claire"
"Phleum pratense",2021-07-05,"KME","S14","C",1,9,"Jeremiah","",1,1400,78,72.5,77,"t",24,48,64,60,58,"Claire"
"Phleum pratense",2021-07-05,"KME","S14","C",2,0,"Jeremiah","",1,1400,78,72.5,77,"t",24,48,64,60,58,"Claire"
