Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw,
Chenopodium album,22 Jul 2021,FBF,M6,,2,500,100,0,600,7.5,74,5920,Jeremiah,5,5,1184
Chenopodium album,22 Jul 2021,FBF,M6,,3,500,100,0,600,7.5,66,5280,Jeremiah,5,5,1056
Chenopodium album,22 Jul 2021,FBF,M7,,1,500,100,0,600,7.5,81,6480,Jeremiah,5,5,1296
Chenopodium album,22 Jul 2021,FBF,M7,,2,500,100,0,600,7.5,88,7040,Jeremiah,5,5,1408
Chenopodium album,22 Jul 2021,FBF,M7,,3,500,100,0,600,7.5,100,8000,Jeremiah,5,5,1600
Chenopodium album,22 Jul 2021,FBF,M8,,1,500,100,0,600,7.5,93,7440,Jeremiah,5,5,1488
Chenopodium album,22 Jul 2021,FBF,M8,,2,500,100,0,600,7.5,99,7920,Jeremiah,5,5,1584
Chenopodium album,22 Jul 2021,FBF,M8,,3,500,100,0,600,7.5,84,6720,Jeremiah,5,5,1344
Chenopodium album,22 Jul 2021,FBF,M9,,1,500,100,0,600,7.5,96,7680,Jeremiah,5,5,1536
Chenopodium album,22 Jul 2021,FBF,M9,,2,500,100,0,600,7.5,75,6000,Jeremiah,5,5,1200
Chenopodium album,22 Jul 2021,FBF,M9,,3,500,100,0,600,7.5,91,7280,Jeremiah,5,5,1456
