Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw,
Plantago lanceolata,20 Aug 2021,QMP,A7,NA,3,500,200,100,800,5,70,11200,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A8,NA,1,500,200,100,800,5,65,10400,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A8,NA,2,500,200,100,800,5,58,9280,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A8,NA,3,500,200,100,800,5,66,10560,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A8,NA,4,500,200,100,800,5,54,8640,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A9,NA,1,500,200,100,800,5,61,9760,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A9,NA,2,500,200,100,800,5,62,9920,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A9,NA,3,500,200,100,800,5,47,7520,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A10,NA,1,500,200,100,800,5,67,10720,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A10,NA,2,500,200,100,800,5,65,10400,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A10,NA,3,500,200,100,800,5,60,9600,Claire,1,4,
Plantago lanceolata,20 Aug 2021,QMP,A10,NA,4,500,200,100,800,5,72,11520,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M1,NA,1,,,,700,5,280,9800,Claire,4,4,"4 anthers per tube, already extended"
Plantago lanceolata,31 Jul 2021,KM,M1,NA,2,,,,700,5,375,13125,Claire,4,4,"4 anthers per tube, already extended"
Plantago lanceolata,31 Jul 2021,KM,M1,NA,3,,,,700,5,342,11970,Claire,4,4,"4 anthers per tube, already extended"
Plantago lanceolata,31 Jul 2021,KM,M8,NA,1,,,,700,5,332,11620,Claire,4,4,"4 anthers per tube, already extended"
Plantago lanceolata,31 Jul 2021,KM,M8,NA,2,,,,700,5,371,12985,Claire,4,4,"4 anthers per tube, already extended"
Plantago lanceolata,31 Jul 2021,KM,M8,NA,3,,,,700,5,341,11935,Claire,4,4,"4 anthers per tube, already extended"
Plantago lanceolata,31 Jul 2021,KM,M4,NA,1,,,,650,5,250,8125,Claire,4,4,"4 anthers per tube, already extended"
Plantago lanceolata,31 Jul 2021,KM,M4,NA,2,,,,650,5,256,8320,Claire,4,4,"4 anthers per tube, already extended"
Plantago lanceolata,31 Jul 2021,KM,M4,NA,3,,,,650,5,231,7507.5,Claire,4,4,"4 anthers per tube, already extended"
Plantago lanceolata,31 Jul 2021,KM,M2,1,1,,,,500,5,175,17500,Claire,1,4,"1 anther, dissected from bud then completely crushed"
Plantago lanceolata,31 Jul 2021,KM,M2,1,2,,,,500,5,161,16100,Claire,1,4,"1 anther, dissected from bud then completely crushed"
Plantago lanceolata,31 Jul 2021,KM,M2,1,3,,,,500,5,140,14000,Claire,1,4,"1 anther, dissected from bud then completely crushed"
Plantago lanceolata,31 Jul 2021,KM,M2,2,4,,,,500,5,143,14300,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,2,5,,,,500,5,141,14100,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,2,6,,,,500,5,198,19800,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,3,7,,,,500,5,137,13700,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,3,8,,,,500,5,136,13600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,3,9,,,,500,5,130,13000,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,1,1,,,,500,5,150,15000,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,1,2,,,,500,5,176,17600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,1,3,,,,500,5,207,20700,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,2,4,,,,500,5,115,11500,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,2,5,,,,500,5,111,11100,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,2,6,,,,500,5,89,8900,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,3,7,,,,500,5,152,15200,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,3,8,,,,500,5,174,17400,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,3,9,,,,500,5,178,17800,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,3,10,,,,500,5,175,17500,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,3,11,,,,500,5,166,16600,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M2,3,12,,,,500,5,148,14800,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M3,1,1,,,,500,5,103,10300,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M3,1,2,,,,500,5,122,12200,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M3,1,3,,,,500,5,114,11400,Claire,1,4,
Plantago lanceolata,31 Jul 2021,KM,M3,2,4,,,,500,5,105,10500,Claire,1,4,
