"Species","Site","Date","Plant","Flower","Flower_extra","Stigma","Pollen","Ovule_dev","Stigmas_per_flw","FlowerID","StigCountsTF","Plantnum","Flower_height","D1","D2","D3","D4","D5","Time","Lat","Long","Observer"
"Amaranthus sp","FBF",2021-08-16,"S9","B",1,NA,4,3,4,"16 Aug 2021-S9-B-1",FALSE,"9",36,51,57,30,57,41,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S9","C",1,NA,7,3,3,"16 Aug 2021-S9-C-1",FALSE,"9",22,51,57,30,57,41,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S10","A",1,NA,24,4,3,"16 Aug 2021-S10-A-1",FALSE,"10",61,28,32,62,40,44,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S10","B",1,NA,50,4,3,"16 Aug 2021-S10-B-1",FALSE,"10",49,28,32,62,40,44,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S10","C",1,NA,20,4,3,"16 Aug 2021-S10-C-1",FALSE,"10",28,28,32,62,40,44,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S11","A",1,NA,16,4,3,"16 Aug 2021-S11-A-1",FALSE,"11",66,55,39,28,37,51,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S11","B",1,NA,41,3,3,"16 Aug 2021-S11-B-1",FALSE,"11",32,55,39,28,37,51,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S11","C",1,NA,24,2,3,"16 Aug 2021-S11-C-1",FALSE,"11",14,55,39,28,37,51,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S12","A",1,NA,4,NA,3,"16 Aug 2021-S12-A-1",FALSE,"12",25,38,51,52,59,50,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S12","B",1,NA,40,4,3,"16 Aug 2021-S12-B-1",FALSE,"12",21,38,51,52,59,50,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S12","C",NA,NA,NA,NA,3,"16 Aug 2021-S12-C-1",FALSE,"12",15,38,51,52,59,50,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S13","A",1,NA,86,4,3,"16 Aug 2021-S13-A-1",FALSE,"13",58,24,19,14,12,16,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S13","B",1,NA,18,3,3,"16 Aug 2021-S13-B-1",FALSE,"13",47,24,19,14,12,16,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S13","C",1,NA,21,4,3,"16 Aug 2021-S13-C-1",FALSE,"13",37,24,19,14,12,16,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S14","A",1,NA,20,NA,3,"16 Aug 2021-S14-A-1",FALSE,"14",57,30,23,24,15,28,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S14","B",1,NA,17,2,3,"16 Aug 2021-S14-B-1",FALSE,"14",43,30,23,24,15,28,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S14","C",1,NA,40,3,3,"16 Aug 2021-S14-C-1",FALSE,"14",33,30,23,24,15,28,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S15","A",1,NA,24,2,3,"16 Aug 2021-S15-A-1",FALSE,"15",51,41,30,20,33,26,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S15","B",1,NA,7,NA,3,"16 Aug 2021-S15-B-1",FALSE,"15",41,41,30,20,33,26,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF",2021-08-16,"S15","C",1,NA,35,3,3,"16 Aug 2021-S15-C-1",FALSE,"15",35,41,30,20,33,26,NA,"44.33699","-76.397885","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S1","A",1,NA,6,4,3,"14 Aug 2021-S1-A-1",FALSE,"1",74,47,169,114,170,120,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S1","B",1,NA,1,4,3,"14 Aug 2021-S1-B-1",FALSE,"1",65,47,169,114,170,120,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S1","C",1,NA,47,4,3,"14 Aug 2021-S1-C-1",FALSE,"1",56,47,169,114,170,120,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S2","A",1,NA,9,4,3,"14 Aug 2021-S2-A-1",FALSE,"2",105,48,135,122,158,104,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S2","B",1,NA,7,4,3,"14 Aug 2021-S2-B-1",FALSE,"2",78,48,135,122,158,104,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S2","C",1,NA,5,2,3,"14 Aug 2021-S2-C-1",FALSE,"2",61,48,135,122,158,104,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S3","A",1,NA,20,4,3,"14 Aug 2021-S3-A-1",FALSE,"3",60,70,120,142,135,174,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S3","B",1,NA,45,4,3,"14 Aug 2021-S3-B-1",FALSE,"3",44,70,120,142,135,174,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S3","C",1,NA,66,3,3,"14 Aug 2021-S3-C-1",FALSE,"3",34,70,120,142,135,174,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S4","A",1,NA,2,4,3,"14 Aug 2021-S4-A-1",FALSE,"4",76,72,87,107,162,181,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S4","B",1,NA,3,4,3,"14 Aug 2021-S4-B-1",FALSE,"4",52,72,87,107,162,181,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S4","C",NA,NA,NA,NA,3,"14 Aug 2021-S4-C-1",FALSE,"4",42,72,87,107,162,181,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S5","A",1,NA,5,3,3,"14 Aug 2021-S5-A-1",FALSE,"5",65,23,85,33,81,69,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S5","B",1,NA,30,4,3,"14 Aug 2021-S5-B-1",FALSE,"5",45,23,85,33,81,69,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S5","C",1,NA,6,4,3,"14 Aug 2021-S5-C-1",FALSE,"5",32,23,85,33,81,69,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S6","A",1,NA,14,4,3,"14 Aug 2021-S6-A-1",FALSE,"6",48,18,18,46,86,272,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S6","B",1,NA,73,2,4,"14 Aug 2021-S6-B-1",FALSE,"6",36,18,18,46,86,272,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S6","C",1,NA,12,3,3,"14 Aug 2021-S6-C-1",FALSE,"6",28,18,18,46,86,272,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S7","A",1,NA,4,4,3,"14 Aug 2021-S7-A-1",FALSE,"7",41,50,74,101,88,78,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S7","B",1,NA,43,4,3,"14 Aug 2021-S7-B-1",FALSE,"7",35,50,74,101,88,78,NA,"44.336944","-76.398611","Claire"
"Amaranthus sp","FBF2",2021-08-14,"S7","C",1,NA,49,3,3,"14 Aug 2021-S7-C-1",FALSE,"7",22,50,74,101,88,78,NA,"44.336944","-76.398611","Claire"
