"","x"
"Tdio_count_Tdio_2-5uL_L6A3S1_count_RAW_ch00.tif_results.csv",81
"Tdio_count_Tdio_2-5uL_L6A3S2_count_RAW_ch00.tif_results.csv",78
"Tdio_count_Tdio_2-5uL_L6A3S3_count_RAW_ch00.tif_results.csv",66
"Tdio_count_Tdio_2-5uL_L8A1S1_count_RAW_ch00.tif_results.csv",98
"Tdio_count_Tdio_2-5uL_L8A1S2_count_RAW_ch00.tif_results.csv",74
"Tdio_count_Tdio_2-5uL_L8A1S3_count_RAW_ch00.tif_results.csv",102
"Tdio_count_Tdio_2-5uL_L8A2S1_count_RAW_ch00.tif_results.csv",68
"Tdio_count_Tdio_2-5uL_L8A2S2_count_RAW_ch00.tif_results.csv",76
"Tdio_count_Tdio_2-5uL_L8A2S3_count_RAW_ch00.tif_results.csv",63
"Tdio_count_Tdio_2-5uL_L8A3S1_count_RAW_ch00.tif_results.csv",91
"Tdio_count_Tdio_2-5uL_L8A3S2_count_RAW_ch00.tif_results.csv",114
"Tdio_count_Tdio_2-5uL_L8A3S3_count_RAW_ch00.tif_results.csv",107
"Tdio_count_Tdio_2-5uL_L9A1S1_count_RAW_ch00.tif_results.csv",126
"Tdio_count_Tdio_2-5uL_L9A1S2_count_RAW_ch00.tif_results.csv",167
"Tdio_count_Tdio_2-5uL_L9A1S3_count_RAW_ch00.tif_results.csv",137
"Tdio_count_Tdio_2-5uL_L9A2S1_count_RAW_ch00.tif_results.csv",144
"Tdio_count_Tdio_2-5uL_L9A2S2_count_RAW_ch00.tif_results.csv",158
"Tdio_count_Tdio_2-5uL_L9A2S3_count_RAW_ch00.tif_results.csv",159
"Tdio_count_Tdio_2-5uL_L9A3S1_count_RAW_ch00.tif_results.csv",148
"Tdio_count_Tdio_2-5uL_L9A3S2_count_RAW_ch00.tif_results.csv",128
"Tdio_count_Tdio_2-5uL_L9A3S3_count_RAW_ch00.tif_results.csv",182
