Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Soap_sol_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw
Purple stigma grass,18 Jul 2021,FBF,18,,3,500,100,0,0,600,7.5,29,2320,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,18,,4,500,100,0,0,600,7.5,11,880,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,19,,1,500,100,0,0,600,7.5,15,1200,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,19,,2,500,100,0,0,600,7.5,20,1600,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,19,,3,500,100,0,0,600,7.5,22,1760,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,19,,4,500,100,0,0,600,7.5,22,1760,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,20,,1,500,100,0,0,600,7.5,21,1680,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,20,,2,500,100,0,0,600,7.5,16,1280,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,20,,3,500,100,0,0,600,7.5,16,1280,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,20,,4,500,100,0,0,600,7.5,17,1360,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,21,,1,500,100,0,0,600,7.5,14,1120,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,21,,2,500,100,0,0,600,7.5,14,1120,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,21,,3,500,100,0,0,600,7.5,6,480,Claire,3,3
Purple stigma grass,18 Jul 2021,FBF,21,,4,500,100,0,0,600,7.5,19,1520,Claire,3,3
