"Species","Site","Date","Plant","Flower","Stigma","Pollen","Obs_count","Notes","StigCountsTF","Stigmas_per_flw","Flower_height","D1","D2","D3","D4","D5","Time","Lat","Long","Obs_field","PlantID"
"Ambrosia artemisiifolia","FBF",2021-09-14,12,"A",NA,20,"Claire","",FALSE,"2",20,26,42,43,40,33,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 12"
"Ambrosia artemisiifolia","FBF",2021-09-14,12,"B",NA,107,"Claire","",FALSE,"2",19,26,42,43,40,33,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 12"
"Ambrosia artemisiifolia","FBF",2021-09-14,12,"C",NA,8,"Claire","",FALSE,"2",14,26,42,43,40,33,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 12"
"Ambrosia artemisiifolia","FBF",2021-09-14,13,"A",NA,172,"Claire","",FALSE,"2",50,16,37,70,79,110,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 13"
"Ambrosia artemisiifolia","FBF",2021-09-14,13,"B",NA,24,"Claire","",FALSE,"2",55,16,37,70,79,110,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 13"
"Ambrosia artemisiifolia","FBF",2021-09-14,13,"C",NA,25,"Claire","",FALSE,"2",48,16,37,70,79,110,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 13"
"Ambrosia artemisiifolia","FBF",2021-09-14,14,"A",NA,23,"Claire","",FALSE,"2",32,35,38,27,37,63,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 14"
"Ambrosia artemisiifolia","FBF",2021-09-14,14,"B",NA,131,"Claire","",FALSE,"2",30,35,38,27,37,63,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 14"
"Ambrosia artemisiifolia","FBF",2021-09-14,14,"C",NA,12,"Claire","",FALSE,"2",18,35,38,27,37,63,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 14"
"Ambrosia artemisiifolia","FBF",2021-09-14,15,"A",NA,145,"Claire","",FALSE,"2",22,102,106,170,168,175,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 15"
"Ambrosia artemisiifolia","FBF",2021-09-14,15,"B",NA,86,"Claire","",FALSE,"2",19,102,106,170,168,175,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 15"
"Ambrosia artemisiifolia","FBF",2021-09-14,15,"C",NA,71,"Claire","",FALSE,"2",10,102,106,170,168,175,"11:00 AM",44.336858,-76.395852,"Claire","2021-09-14 15"
