Species,Date,Site,Label,Anther,Subsample,Tube_vol_init_uL,Fuschin_vol_uL,Glycerin_tube_vol_uL,Tot_tube_vol_uL,Subsample_vol_uL,Pollen_sub,Pollen_tot,Observer,N_anth_tube,Anth_per_flw
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
,,,,,,,,,,,,#DIV/0!,,,
