"Species","Date","Site","Plant","Flower","Stigma","Pollen","Obs_count","Notes","Flower_height","N_flowers","D1","D2","D3","D4","D5","Obs_field"
"Rumex acetosella",2021-06-04,"KM","F7",2,1,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F7",2,2,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F7",2,3,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F8",1,1,2,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F8",1,2,1,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F8",1,3,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F8",2,1,4,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F8",2,2,2,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F8",2,3,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F8",3,1,2,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F8",3,2,1,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-04,"KM","F8",3,3,0,"Claire","",NA,NA,NA,NA,NA,NA,NA,NA
"Rumex acetosella",2021-06-06,"WCK","F1",1,1,0,"Claire","",8.9,NA,8.5,7.8,6.5,12,16,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F1",1,2,1,"Claire","",8.9,NA,8.5,7.8,6.5,12,16,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F1",1,3,0,"Claire","",8.9,NA,8.5,7.8,6.5,12,16,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F1",2,1,0,"Claire","",8.9,NA,8.5,7.8,6.5,12,16,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F1",2,2,0,"Claire","",8.9,NA,8.5,7.8,6.5,12,16,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F1",2,3,0,"Claire","",8.9,NA,8.5,7.8,6.5,12,16,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F1",3,1,1,"Claire","",8.9,NA,8.5,7.8,6.5,12,16,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F1",3,2,1,"Claire","",8.9,NA,8.5,7.8,6.5,12,16,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F1",3,3,1,"Claire","",8.9,NA,8.5,7.8,6.5,12,16,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F10",1,1,1,"Claire","",19.3,NA,18,17,26,43,19.5,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F10",1,2,1,"Claire","",19.3,NA,18,17,26,43,19.5,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F10",1,3,2,"Claire","",19.3,NA,18,17,26,43,19.5,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F10",2,1,1,"Claire","",19.3,NA,18,17,26,43,19.5,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F10",2,2,0,"Claire","",19.3,NA,18,17,26,43,19.5,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F10",2,3,0,"Claire","",19.3,NA,18,17,26,43,19.5,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F10",3,1,0,"Claire","",19.3,NA,18,17,26,43,19.5,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F10",3,2,1,"Claire","another grain with what looks like 2 sacs on it",19.3,NA,18,17,26,43,19.5,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F10",3,3,0,"Claire","",19.3,NA,18,17,26,43,19.5,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F14",1,1,0,"Claire","",17,NA,71,81,24,83,42,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F14",1,2,1,"Claire","",17,NA,71,81,24,83,42,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F14",1,3,2,"Claire","",17,NA,71,81,24,83,42,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F14",2,1,1,"Claire","",17,NA,71,81,24,83,42,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F14",2,2,0,"Claire","",17,NA,71,81,24,83,42,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F14",2,3,0,"Claire","",17,NA,71,81,24,83,42,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F14",3,1,2,"Claire","",17,NA,71,81,24,83,42,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F14",3,2,1,"Claire","",17,NA,71,81,24,83,42,"Claire"
"Rumex acetosella",2021-06-06,"WCK","F14",3,3,2,"Claire","",17,NA,71,81,24,83,42,"Claire"
