Species,Date,Site,Plant,Flower,Stigma,Pollen,Observer,Lat,Long,Notes
Plantago lanceolata,18-Aug-21,FBF,S8,1,NA,32,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S8,2,NA,177,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S8,3,NA,42,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S9,1,NA,23,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S9,2,NA,33,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S9,3,NA,15,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S10,1,NA,31,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S10,2,NA,218,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S10,3,NA,30,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S11,1,NA,54,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S11,2,NA,278,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S11,3,NA,337,Claire,44.292778,-76.444444, 
Plantago lanceolata,18-Aug-21,FBF,S12,1,NA,73,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S12,2,NA,152,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S12,3,NA,88,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S13,1,NA,17,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S13,2,NA,77,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S13,3,NA,20,Claire,44.292778,-76.444444,
Plantago lanceolata,19-Aug-21,FBF,S14,4,NA,27,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S14,1,NA,217,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S14,2,NA,23,Claire,44.292778,-76.444444,
Plantago lanceolata,18-Aug-21,FBF,S14,3,NA,30,Claire,44.292778,-76.444444,
