ind,pos,npollen,nstigma,npoll,jday,spp,H1,H2,D1,D2,D3,D4,D5,O1,O2,O3,O4,O5,dmean,lnpollen,treat,mwsp,vwsp,medwsp,qrange,time,arch,mstigl,mstigbl,mstigsa,h3,lmwsp,_TYPE_,_FREQ_,mpolcnt,mpollsize,vpolcnt,vpollsize,count,count2
N14,3,207,2,,1213,arepens,106,93,38,32,41,32,46,160,340,280,0,240,0.026455026,5.33753808,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,13,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N11,1,100,2,,1213,arepens,98.4,87.4,16,9,5,16.5,22.5,110,60,180,310,200,0.072463768,4.615120517,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,11,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N11,1,24,2,,1213,arepens,98.4,87.4,16,9,5,16.5,22.5,110,60,180,310,200,0.072463768,3.218875825,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,11,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N11,2,88,2,,1213,arepens,98.4,87.4,16,9,5,16.5,22.5,110,60,180,310,200,0.072463768,4.48863637,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,11,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N11,2,133,2,,1213,arepens,98.4,87.4,16,9,5,16.5,22.5,110,60,180,310,200,0.072463768,4.8978398,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,11,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N11,3,372,2,,1213,arepens,98.4,87.4,16,9,5,16.5,22.5,110,60,180,310,200,0.072463768,5.92157842,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,11,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N09,1,124,2,,1213,arepens,107.5,95.2,4,2,11,15,24,290,145,180,260,330,0.089285714,4.828313737,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12.3,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N09,1,281,2,,1213,arepens,107.5,95.2,4,2,11,15,24,290,145,180,260,330,0.089285714,5.641907071,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12.3,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N09,3,265,2,,1213,arepens,107.5,95.2,4,2,11,15,24,290,145,180,260,330,0.089285714,5.583496309,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12.3,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N05,2,200,2,,1213,arepens,109.5,97,13,28,17,6,22,0,285,200,190,40,0.058139535,5.303304908,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12.5,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N02,2,98,2,,1213,arepens,115.9,100.4,32,28,42,49,56,50,20,20,0,355,0.024154589,4.59511985,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,15.5,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
N02,3,154,2,,1213,arepens,115.9,100.4,32,28,42,49,56,50,20,20,0,355,0.024154589,5.043425117,N,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,15.5,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
M11,2,164,2,,1213,arepens,112.1,97.9,18,24.5,5,12,25,50,65,220,350,340,0.059171598,5.105945474,M,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,14.2,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
M11,3,207,2,,1213,arepens,112.1,97.9,18,24.5,5,12,25,50,65,220,350,340,0.059171598,5.33753808,M,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,14.2,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
M06,1,351,2,,1213,arepens,110.8,94.4,8,24,13,15,26,70,10,220,240,350,0.058139535,5.863631176,M,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,16.4,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
M06,2,176,2,,1213,arepens,110.8,94.4,8,24,13,15,26,70,10,220,240,350,0.058139535,5.176149733,M,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,16.4,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
M06,2,363,2,,1213,arepens,110.8,94.4,8,24,13,15,26,70,10,220,240,350,0.058139535,5.897153868,M,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,16.4,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
M06,3,86,2,,1213,arepens,110.8,94.4,8,24,13,15,26,70,10,220,240,350,0.058139535,4.465908119,M,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,16.4,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
M03,2,68,2,,1213,arepens,116.4,104.3,11,32,36,16,35,250,350,310,110,340,0.038461538,4.234106505,M,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12.1,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C14,1,74,2,,1213,arepens,113.9,100.6,6,4,3,5,13,110,250,160,170,110,0.161290323,4.317488114,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,13.3,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C14,2,134,2,,1213,arepens,113.9,100.6,6,4,3,5,13,110,250,160,170,110,0.161290323,4.905274778,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,13.3,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C14,2,39,2,,1213,arepens,113.9,100.6,6,4,3,5,13,110,250,160,170,110,0.161290323,3.688879454,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,13.3,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C14,3,116,2,,1213,arepens,113.9,100.6,6,4,3,5,13,110,250,160,170,110,0.161290323,4.762173935,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,13.3,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C13,2,30,2,,1213,arepens,102.2,89.1,11,11,21,21,23,230,320,280,340,100,0.057471264,3.433987204,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,13.1,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C13,2,61,2,,1213,arepens,102.2,89.1,11,11,21,21,23,230,320,280,340,100,0.057471264,4.127134385,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,13.1,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C11,1,231,2,,1213,arepens,110.1,97.4,22,24,34,29,33,100,140,100,210,330,0.035211268,5.446737372,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12.7,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C11,2,249,2,,1213,arepens,110.1,97.4,22,24,34,29,33,100,140,100,210,330,0.035211268,5.521460918,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,12.7,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C09,2,381,2,,1213,arepens,108.2,98.2,21,21.5,16,21,33,160,240,85,320,185,0.044444444,5.945420609,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,10,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
C09,2,197,2,,1213,arepens,108.2,98.2,21,21.5,16,21,33,160,240,85,320,185,0.044444444,5.288267031,C,1.398333333,0.533614286,1.39,1.05,,compact,2.90141339,0.801752443,4.223703698,10,0.335281051,0,20,15268.525,37.55615064,6738794.197,1.908110381,0.357142857,0.12755102
