"Species","Sex_sys","source","n_ind"
"Rumex acetosella","dioecious","CS2021",9
"Thalictrum dioicum","dioecious","CS2021",9
"Amaranthus retroflexus","monoecious","CS2021",16
"Ambrosia artemisiifolia","monoecious","CS2021",14
"Chenopodium album","hermaphroditic","CS2021",19
"Plantago lanceolata","hermaphroditic","CS2021",31
"Setaria viridis","hermaphroditic","CS2021",19
