"Species","Sex_sys","source","n_ind"
"Rumex acetosella","dioecious","CS2021",9
"Thalictrum dioicum","dioecious","CS2021",7
"Amaranthus retroflexus","monoecious","CS2021",18
"Ambrosia artemisiifolia","monoecious","CS2021",15
"Chenopodium album","hermaphroditic","CS2021",19
"Plantago lanceolata","hermaphroditic","CS2021",29
"Setaria viridis","hermaphroditic","CS2021",119
