Species,Sex system,N
Rumex acetosella,Dioecious,9
Thalictrum dioicum,Dioecious,9
Amaranthus retroflexus,Monoecious,16
Ambrosia artemisiifolia,Monoecious,14
Chenopodium album,Hermaphroditic,19
Plantago lanceolata,Hermaphroditic,31
Setaria viridis,Hermaphroditic,19
