Species,Sex system,N
Rumex acetosella,Dioecious,9
Thalictrum dioicum,Dioecious,7
Amaranthus retroflexus,Monoecious,18
Ambrosia artemisiifolia,Monoecious,15
Chenopodium album,Hermaphroditic,19
Plantago lanceolata,Hermaphroditic,29
Setaria viridis,Hermaphroditic,119
